mvir,rockstarid,rvir
10002000000000,12572845634,438.403
10002000000000,12576216244,438.403
10002000000000,12586243244,438.403
10002000000000,12598096795,438.403
10002000000000,12569659413,438.403
10002000000000,12602602424,438.403
10002000000000,12616473354,438.403
10002000000000,12579572772,438.403
10002000000000,12572048511,438.403
10002000000000,12575708957,438.403
10002000000000,12619242324,438.403
10002000000000,12571906818,438.403
10002000000000,12621043654,438.403
10002000000000,12581401903,438.403
10002000000000,12620766424,438.403
10002000000000,12634260435,438.403
10002000000000,12595214803,438.403
10002000000000,12606772536,438.403
10002000000000,12637771234,438.403
10002000000000,12629560125,438.403
10002000000000,12598793599,438.403
10002000000000,12607573742,438.403
10002000000000,12615657677,438.403
10002000000000,12577561470,438.403
10002000000000,12620361676,438.403
10002000000000,12606582991,438.403
10002000000000,12607906227,438.403
10002000000000,12589502910,438.403
10002000000000,12610549539,438.403
10002000000000,12619866852,438.403
10002000000000,12624656227,438.403
10002000000000,12611525008,438.403
10002000000000,12623071152,438.403
10002000000000,12624580578,438.403
10002000000000,12664262685,438.403
10002000000000,12644726686,438.403
10002000000000,12645193173,438.403
10002000000000,12617052360,438.403
10002000000000,12645013611,438.403
10002000000000,12651964536,438.403
10002000000000,12644688542,438.403
10002000000000,12662473743,438.403
10002000000000,12649678029,438.403
10002000000000,12655768306,438.403
10002000000000,12667670586,438.403
10002000000000,12698445495,438.403
10002000000000,12660497726,438.403
10002000000000,12669638063,438.403
10002000000000,12628329740,438.403
10002000000000,12658399637,438.403
10002000000000,12672753663,438.403
10002000000000,12674827303,438.403
10002000000000,12644186640,438.403
10002000000000,12680417066,438.403
10002000000000,12679439613,438.403
10002000000000,12688768933,438.403
10002000000000,12666921841,438.403
10002000000000,12685094073,438.403
10002000000000,12677566708,438.403
10002000000000,12653390420,438.403
10002000000000,12682434779,438.403
10002000000000,12666819530,438.403
10002000000000,12701170586,438.403
10002000000000,12701172173,438.403
10002000000000,12697547382,438.403
10002000000000,12705812193,438.403
10002000000000,12705492981,438.403
10002000000000,12703357152,438.403
10002000000000,12704799452,438.403
10002000000000,12700020990,438.403
10003000000000,12578725784,438.425
10003000000000,12575524375,438.425
10003000000000,12578399444,438.425
10003000000000,12591845684,438.425
10003000000000,12585626505,438.425
10003000000000,12571171106,438.425
10003000000000,12571170883,438.425
10003000000000,12570217489,438.425
10003000000000,12569767701,438.425
10003000000000,12611774065,438.425
10003000000000,12593284821,438.425
10003000000000,12640784015,438.425
10003000000000,12596626369,438.425
10003000000000,12579464140,438.425
10003000000000,12598724947,438.425
10003000000000,12644689135,438.425
10003000000000,12601945797,438.425
10003000000000,12645085334,438.425
10003000000000,12622079283,438.425
10003000000000,12589800030,438.425
10003000000000,12652418234,438.425
10003000000000,12609747031,438.425
10003000000000,12611670077,438.425
10003000000000,12626744036,438.425
10003000000000,12620403282,438.425
10003000000000,12622485461,438.425
10003000000000,12624180899,438.425
10003000000000,12660184175,438.425
10003000000000,12641138796,438.425
10003000000000,12599817990,438.425
10003000000000,12644331971,438.425
10003000000000,12680166924,438.425
10003000000000,12645118472,438.425
10003000000000,12662548496,438.425
10003000000000,12653424263,438.425
10003000000000,12685056664,438.425
10003000000000,12645618728,438.425
10003000000000,12652960907,438.425
10003000000000,12656878431,438.425
10003000000000,12664587826,438.425
10003000000000,12643187760,438.425
10003000000000,12667987403,438.425
10003000000000,12664230667,438.425
10003000000000,12673614801,438.425
10003000000000,12680095823,438.425
10003000000000,12688913673,438.425
10003000000000,12672287908,438.425
10003000000000,12681429133,438.425
10003000000000,12641033320,438.425
10003000000000,12679046451,438.425
10003000000000,12681678911,438.425
10003000000000,12662088470,438.425
10003000000000,12682575987,438.425
10003000000000,12663799850,438.425
10003000000000,12680019388,438.425
10003000000000,12689889702,438.425
10003000000000,12679729318,438.425
10003000000000,12685132737,438.425
10003000000000,12682397918,438.425
10003000000000,12696664197,438.425
10003000000000,12696107381,438.425
10003000000000,12705569903,438.425
10003000000000,12698949162,438.425
10003000000000,12685836120,438.425
10005000000000,12579311534,438.447
10005000000000,12589464634,438.447
10005000000000,12591031584,438.447
10005000000000,12593140265,438.447
10005000000000,12595787555,438.447
10005000000000,12573211306,438.447
10005000000000,12616546955,438.447
10005000000000,12617440895,438.447
10005000000000,12607571024,438.447
10005000000000,12570029758,438.447
10005000000000,12574690959,438.447
10005000000000,12585337587,438.447
10005000000000,12583162272,438.447
10005000000000,12573324368,438.447
10005000000000,12583785273,438.447
10005000000000,12588126662,438.447
10005000000000,12586642909,438.447
10005000000000,12584615102,438.447
10005000000000,12597871461,438.447
10005000000000,12596410802,438.447
10005000000000,12608221369,438.447
10005000000000,12606991693,438.447
10005000000000,12575195360,438.447
10005000000000,12610332662,438.447
10005000000000,12610076678,438.447
10005000000000,12614641661,438.447
10005000000000,12661544194,438.447
10005000000000,12623746396,438.447
10005000000000,12621909307,438.447
10005000000000,12621658029,438.447
10005000000000,12657055735,438.447
10005000000000,12614251161,438.447
10005000000000,12626715189,438.447
10005000000000,12641064626,438.447
10005000000000,12631374643,438.447
10005000000000,12662187794,438.447
10005000000000,12637180591,438.447
10005000000000,12664661054,438.447
10005000000000,12635667398,438.447
10005000000000,12676334564,438.447
10005000000000,12640212046,438.447
10005000000000,12617049860,438.447
10005000000000,12642514703,438.447
10005000000000,12646599911,438.447
10005000000000,12647330449,438.447
10005000000000,12652207313,438.447
10005000000000,12684331485,438.447
10005000000000,12654288017,438.447
10005000000000,12655410877,438.447
10005000000000,12702382834,438.447
10005000000000,12706131925,438.447
10005000000000,12644508490,438.447
10005000000000,12647501060,438.447
10005000000000,12668550967,438.447
10005000000000,12682905366,438.447
10005000000000,12675924942,438.447
10005000000000,12688874639,438.447
10005000000000,12681138217,438.447
10005000000000,12679258912,438.447
10005000000000,12678981888,438.447
10005000000000,12684743507,438.447
10005000000000,12686788797,438.447
10005000000000,12686759579,438.447
10005000000000,12696416741,438.447
10005000000000,12695551988,438.447
10005000000000,12688543692,438.447
10005000000000,12696592233,438.447
10005000000000,12693286011,438.447
10005000000000,12695792182,438.447
10005000000000,12695207120,438.447
10005000000000,12698659080,438.447
10006000000000,12569178035,438.469
10006000000000,12573837775,438.469
10006000000000,12581073275,438.469
10006000000000,12590090194,438.469
10006000000000,12592101185,438.469
10006000000000,12593072334,438.469
10006000000000,12602089405,438.469
10006000000000,12573648166,438.469
10006000000000,12570915627,438.469
10006000000000,12606143454,438.469
10006000000000,12584071116,438.469
10006000000000,12591108619,438.469
10006000000000,12636925334,438.469
10006000000000,12596626429,438.469
10006000000000,12633428004,438.469
10006000000000,12609969647,438.469
10006000000000,12598309498,438.469
10006000000000,12605972569,438.469
10006000000000,12620402273,438.469
10006000000000,12578803110,438.469
10006000000000,12651463104,438.469
10006000000000,12642833354,438.469
10006000000000,12620511897,438.469
10006000000000,12593936800,438.469
10006000000000,12625460177,438.469
10006000000000,12622190818,438.469
10006000000000,12634437288,438.469
10006000000000,12675924324,438.469
10006000000000,12632164739,438.469
10006000000000,12641103321,438.469
10006000000000,12629742978,438.469
10006000000000,12641865416,438.469
10006000000000,12645085461,438.469
10006000000000,12634110298,438.469
10006000000000,12644977152,438.469
10006000000000,12649115169,438.469
10006000000000,12647428662,438.469
10006000000000,12661218289,438.469
10006000000000,12656737043,438.469
10006000000000,12651575861,438.469
10006000000000,12656267537,438.469
10006000000000,12627557920,438.469
10006000000000,12637843640,438.469
10006000000000,12656126462,438.469
10006000000000,12702454274,438.469
10006000000000,12667880251,438.469
10006000000000,12670619779,438.469
10006000000000,12676889376,438.469
10006000000000,12706273974,438.469
10006000000000,12676025043,438.469
10006000000000,12678067876,438.469
10006000000000,12644726310,438.469
10006000000000,12673762277,438.469
10006000000000,12661942032,438.469
10006000000000,12679836226,438.469
10006000000000,12675465179,438.469
10006000000000,12678595747,438.469
10006000000000,12680238169,438.469
10006000000000,12677035062,438.469
10006000000000,12686961696,438.469
10006000000000,12680855342,438.469
10006000000000,12684574011,438.469
10006000000000,12656809850,438.469
10006000000000,12694131188,438.469
10006000000000,12705880946,438.469
10006000000000,12699300252,438.469
10006000000000,12697402908,438.469
10006000000000,12685340390,438.469
10008000000000,12578143454,438.491
10008000000000,12576824265,438.491
10008000000000,12584176945,438.491
10008000000000,12587723516,438.491
10008000000000,12596552243,438.491
10008000000000,12587539983,438.491
10008000000000,12620362304,438.491
10008000000000,12584687692,438.491
10008000000000,12588383791,438.491
10008000000000,12586605028,438.491
10008000000000,12637034715,438.491
10008000000000,12595283707,438.491
10008000000000,12601252753,438.491
10008000000000,12600847577,438.491
10008000000000,12644688634,438.491
10008000000000,12646994675,438.491
10008000000000,12577561560,438.491
10008000000000,12620552653,438.491
10008000000000,12651431275,438.491
10008000000000,12607028771,438.491
10008000000000,12618499861,438.491
10008000000000,12621475897,438.491
10008000000000,12620551349,438.491
10008000000000,12655660714,438.491
10008000000000,12620513372,438.491
10008000000000,12630326803,438.491
10008000000000,12627225407,438.491
10008000000000,12671410955,438.491
10008000000000,12662329824,438.491
10008000000000,12671925744,438.491
10008000000000,12673262574,438.491
10008000000000,12633819433,438.491
10008000000000,12636132622,438.491
10008000000000,12626411982,438.491
10008000000000,12665838274,438.491
10008000000000,12645837233,438.491
10008000000000,12644619989,438.491
10008000000000,12680238315,438.491
10008000000000,12650590016,438.491
10008000000000,12639792977,438.491
10008000000000,12648980732,438.491
10008000000000,12651395491,438.491
10008000000000,12672648906,438.491
10008000000000,12660221219,438.491
10008000000000,12666326188,438.491
10008000000000,12671854639,438.491
10008000000000,12664587427,438.491
10008000000000,12671746168,438.491
10008000000000,12684155636,438.491
10008000000000,12693532316,438.491
10008000000000,12666087548,438.491
10008000000000,12687135316,438.491
10008000000000,12687832373,438.491
10008000000000,12685195237,438.491
10008000000000,12686927887,438.491
10008000000000,12696872868,438.491
10008000000000,12705700223,438.491
10008000000000,12689745088,438.491
10008000000000,12698871918,438.491
10008000000000,12693466609,438.491
10008000000000,12703394911,438.491
10008000000000,12705954249,438.491
10008000000000,12693957148,438.491
10008000000000,12669393940,438.491
10008000000000,12705217172,438.491
10008000000000,12706167558,438.491
10008000000000,12695751530,438.491
10009000000000,12570509934,438.513
10009000000000,12581189645,438.513
10009000000000,12574760654,438.513
10009000000000,12594859434,438.513
10009000000000,12570662726,438.513
10009000000000,12578913447,438.513
10009000000000,12616690154,438.513
10009000000000,12574537988,438.513
10009000000000,12590597209,438.513
10009000000000,12626822985,438.513
10009000000000,12583387957,438.513
10009000000000,12643541224,438.513
10009000000000,12609895749,438.513
10009000000000,12637805725,438.513
10009000000000,12647217744,438.513
10009000000000,12616830643,438.513
10009000000000,12608188158,438.513
10009000000000,12577190190,438.513
10009000000000,12604298442,438.513
10009000000000,12611922403,438.513
10009000000000,12620653269,438.513
10009000000000,12625238953,438.513
10009000000000,12657195975,438.513
10009000000000,12635337873,438.513
10009000000000,12622880767,438.513
10009000000000,12614041699,438.513
10009000000000,12658659145,438.513
10009000000000,12624691721,438.513
10009000000000,12626818001,438.513
10009000000000,12664802344,438.513
10009000000000,12628950071,438.513
10009000000000,12674508884,438.513
10009000000000,12626896768,438.513
10009000000000,12676100085,438.513
10009000000000,12630939111,438.513
10009000000000,12630363482,438.513
10009000000000,12630002448,438.513
10009000000000,12616210390,438.513
10009000000000,12644477539,438.513
10009000000000,12681859424,438.513
10009000000000,12638062179,438.513
10009000000000,12646058982,438.513
10009000000000,12641935889,438.513
10009000000000,12656665573,438.513
10009000000000,12661900923,438.513
10009000000000,12655798701,438.513
10009000000000,12702838555,438.513
10009000000000,12675363776,438.513
10009000000000,12670418309,438.513
10009000000000,12632881270,438.513
10009000000000,12632988310,438.513
