mvir,x,y,z,rockstarid
15866000000000,41.5349,81.1417,42.3589,12569248279
16051000000000,22.0749,84.0247,83.3592,12569288867
16442000000000,95.1313,84.8787,82.7034,12578570903
16477000000000,32.7734,61.4935,46.2113,12568652136
16487000000000,79.3417,1.16989,79.725,12577990403
16605000000000,37.8505,0.41052,50.1011,12568652174
16724000000000,27.7266,2.11783,67.3755,12568652354
16901000000000,41.0709,56.3615,76.4047,12568649901
17017000000000,72.8807,14.2472,26.788,12577990283
17101000000000,5.50422,62.5577,22.905,12568649582
17261000000000,88.574,49.5603,85.7626,12578028682
17425000000000,4.95903,7.04752,99.762,12568690750
17433000000000,0.46715,37.3246,7.81691,12568651822
17577000000000,85.4784,54.9463,3.38707,12577987762
17664000000000,6.58951,60.5757,21.3897,12568649562
17764000000000,67.2702,28.1271,29.8446,12568651709
17827000000000,1.76199,66.4051,21.1052,12568652416
17863000000000,58.795,28.5126,23.3282,12568652109
17883000000000,95.7859,59.7346,3.89177,12577989983
17988000000000,75.1989,89.9642,89.113,12578568881
18008000000000,60.2958,28.944,86.705,12568691162
18011000000000,5.12592,54.2923,25.8065,12568652019
18083000000000,30.428,75.9228,26.4987,12569248981
18226000000000,15.2025,42.2467,87.9466,12568690758
18279000000000,54.6616,59.9925,89.9567,12568690988
18462000000000,58.9097,72.9492,77.3547,12569288606
18574000000000,48.0123,35.1735,10.5103,12568652301
18596000000000,26.0686,12.4429,48.7537,12568652094
18781000000000,18.5639,41.0037,24.9869,12568652156
18950000000000,45.6681,84.0255,35.1933,12569248879
19040000000000,46.0979,83.08,2.1643,12569248900
19141000000000,92.1247,92.6571,90.4557,12578570405
19331000000000,60.3764,97.8173,80.1071,12569288330
19370000000000,21.7357,67.0742,80.0238,12568690973
19375000000000,71.9214,22.7025,31.5535,12577989258
19387000000000,42.3459,74.5916,13.4767,12569247601
19397000000000,83.8795,33.6207,60.1026,12577988603
19617000000000,4.64622,17.721,92.2784,12568688223
19668000000000,48.9799,35.026,22.6693,12568650468
20001000000000,6.34549,94.7786,82.3193,12569288303
20031000000000,22.3781,47.7202,27.6651,12568651460
20090000000000,40.458,86.3011,52.5858,12569248133
20386000000000,73.4743,22.9429,30.6141,12577989252
20668000000000,91.6913,71.338,21.2149,12578570737
20993000000000,43.4093,64.3886,7.30074,12568652049
21097000000000,57.5476,14.4313,21.7369,12568651910
21168000000000,15.7033,44.2492,26.5313,12568651897
21210000000000,0.62721,7.72394,56.294,12568651860
21463000000000,98.9564,42.7734,31.8296,12577989525
21866000000000,28.718,71.7154,87.2306,12569287985
21990000000000,10.9247,64.1144,24.2866,12568651956
22060000000000,0.13593,8.93139,51.1072,12568651978
22276000000000,19.059,63.7657,81.3608,12568690632
22456000000000,11.0276,42.7411,73.4616,12568651939
22559000000000,8.09162,8.69469,45.2444,12568651847
23042000000000,74.2789,85.9336,43.8428,12578570708
23403000000000,50.1976,63.1439,67.6563,12568651746
23533000000000,59.7329,90.6586,13.2128,12569248805
24019000000000,1.08497,16.5653,95.2898,12568690288
24040000000000,27.2796,3.26725,59.6586,12568651502
24062000000000,82.4213,62.6497,59.6069,12578569661
24109000000000,18.5595,46.7667,27.7492,12568651020
24138000000000,38.2936,3.74658,76.003,12568651802
24184000000000,27.9689,22.1856,39.7902,12568651686
24913000000000,29.9898,83.1558,60.5816,12569248412
25369000000000,25.1855,6.41786,76.0559,12568651341
25392000000000,97.961,66.6492,61.1756,12578570388
25523000000000,49.4851,35.2979,0.5351,12568651780
25610000000000,3.88711,24.4604,91.3752,12568690355
25753000000000,3.30739,30.5485,91.0079,12568690321
25795000000000,96.4156,0.73973,15.3705,12577989594
25839000000000,41.401,33.3815,30.112,12568651423
26116000000000,63.8361,72.6087,77.4667,12569287498
26257000000000,26.9839,74.762,69.2776,12569248529
