ds
8.90877
9.08115
9.93792
10.428
13.9956
14.9732
16.6521
16.8192
17.6633
17.8132
18.7427
19.7408
17.6125
5.97268
11.8262
14.3773
19.6342
5.28506
7.78775
9.33288
9.79504
11.0871
11.3134
11.4698
11.9126
13.2945
15.6608
15.8867
16.6871
17.1538
17.2613
17.3401
17.6719
17.772
18.2896
19.6021
19.6043
9.78983
10.0638
10.0706
10.8519
12.3851
13.0702
13.3341
14.2044
14.4793
14.6883
14.9691
16.0477
16.1378
16.79
17.2462
17.8851
18.2476
18.5012
18.9281
10.2629
12.0279
13.5037
13.5386
15.0027
15.5595
17.4727
17.958
18.2118
18.8378
18.9866
19.6713
19.9966
5.87796
6.00846
6.1594
12.0831
13.5122
15.6395
16.4815
16.8717
18.2705
18.2903
19.4716
4.7547
8.50045
10.4885
10.6451
11.0328
15.4795
17.246
17.5161
19.7712
19.9005
5.08379
5.62185
10.4958
11.5709
12.0804
12.5731
13.0927
13.53
13.7389
13.7553
14.3019
14.4746
15.0232
15.7476
15.9757
16.6033
16.9853
17.6132
17.6185
18.5337
18.9418
19.5279
19.8966
3.4734
5.27826
5.39908
5.72144
5.82661
7.36284
7.54204
11.8736
12.7867
13.7628
16.4061
16.4469
16.5465
17.1796
17.4469
19.1362
19.3109
19.8856
6.8627
7.87827
7.92188
8.70477
13.4053
13.932
14.5374
14.6682
17.539
18.3136
19.9111
19.9633
4.64678
6.72086
7.03095
8.46473
9.16505
9.9164
10.0336
12.8689
15.9359
16.5768
17.2694
18.1686
18.487
18.8655
18.9129
19.2481
19.4543
19.7228
3.90603
6.80297
10.8607
14.2176
14.2796
10.6597
11.0486
11.3381
11.5121
12.2213
13.8242
15.8163
16.5296
16.9067
17.1111
18.4784
18.4866
19.4353
19.5289
19.9806
11.8213
12.7422
15.5086
18.6536
18.894
19.7485
3.70837
8.78132
8.92775
9.1856
9.40244
11.4818
14.5847
15.3788
15.9206
16.7964
17.8446
19.75
19.9673
8.05783
14.0334
15.1031
16.1799
16.3118
16.3511
17.2539
19.3103
5.60338
5.9457
7.01485
8.57359
9.42598
9.81257
10.3574
10.6929
11.3998
13.1903
14.4629
15.2635
16.1568
16.7923
17.888
19.3845
4.7937
6.38245
14.2133
14.4168
14.4243
14.928
6.1788
9.01554
11.8101
13.0276
16.1787
19.7207
12.7561
12.9909
15.1473
15.7171
17.1638
17.6506
18.7964
6.43005
7.85106
8.53633
9.79042
11.0935
11.6059
11.8687
12.1268
12.4936
13.605
13.6621
