z_0,z_1
69.6481,65.2569
22.6616,13.0596
22.6616,21.184
15.7446,19.6287
15.7446,21.184
15.7446,13.0596
15.7446,32.8029
19.6287,21.184
19.6287,32.8029
19.6287,13.0596
69.3587,65.2569
69.3587,73.5804
69.3587,74.8614
69.3587,68.6507
55.9121,49.4672
55.9121,55.2245
55.9121,61.8548
74.0501,76.7385
74.0501,73.933
74.0501,86.7322
74.0501,74.8614
32.8029,21.184
86.7322,76.7385
86.7322,74.8614
78.4856,84.3407
78.4856,62.1242
12.6784,12.8136
12.6784,16.9943
61.8548,62.1242
61.8548,55.2245
61.8548,49.4672
73.933,76.7385
24.0582,20.3041
55.2245,49.4672
56.3582,65.2569
74.8614,65.2569
74.8614,73.5804
74.8614,76.7385
19.873,16.9943
19.873,24.5986
19.873,12.8136
65.2569,73.5804
65.2569,68.6507
12.8136,16.9943
12.8136,24.5986
16.9943,24.5986
89.3295,92.0965
59.5111,44.7665
84.3407,92.0965
21.184,13.0596
