z_0,z_1
67.3992,73.122
67.3992,81.3608
67.3992,80.0238
11.2651,6.3017
11.2651,15.3654
11.2651,17.9363
11.2651,16.9943
11.2651,19.873
11.2651,13.8148
11.2651,13.224
11.2651,12.8136
11.2651,4.16593
11.2651,23.7732
11.2651,24.5986
11.2651,2.1643
21.1296,22.905
21.1296,20.8101
21.1296,21.3897
21.1296,21.184
21.1296,15.8126
21.1296,24.2866
21.1296,22.5004
21.1296,25.8065
21.1296,22.6616
21.1296,13.0596
21.1296,29.1502
21.1296,15.7446
21.1296,29.4058
10.4739,10.7197
10.4739,17.0705
10.4739,15.2665
10.4739,9.14387
10.4739,22.004
10.4739,23.8484
10.4739,10.5103
10.4739,7.30074
10.4739,0.5351
10.4739,24.0582
10.4739,18.4095
10.4739,22.6693
10.4739,24.5847
63.3937,61.8548
63.3937,68.7236
63.3937,59.6586
63.3937,67.3755
63.3937,62.1242
63.3937,63.6091
63.3937,75.0283
63.3937,52.2435
63.3937,57.799
63.3937,76.0559
63.3937,55.9121
63.3937,48.7537
63.3937,55.9588
63.3937,78.3017
63.3937,78.4856
63.3937,55.2245
63.3937,49.4672
89.5237,91.0416
89.5237,90.4557
89.5237,82.7034
89.5237,95.1483
35.1604,26.9197
35.1604,27.5135
35.1604,44.7665
35.1604,26.3474
35.1604,46.2113
35.1604,41.7297
35.1604,38.7284
35.1604,25.3291
35.1604,42.3589
35.1604,24.126
35.1604,26.4987
35.1604,25.8215
35.1604,35.1933
25.3291,24.126
25.3291,25.8215
25.3291,26.3474
25.3291,26.9197
25.3291,13.0421
25.3291,13.4767
25.3291,27.5135
25.3291,29.4058
25.3291,35.1933
25.3291,41.7297
25.3291,16.2902
25.3291,42.3589
78.4853,89.113
78.4853,89.6333
78.4853,90.2198
78.4853,91.4505
78.4853,95.1483
78.4853,80.1071
78.4853,78.1909
78.4853,77.4667
78.4853,92.4005
93.4075,92.4005
93.4075,77.6084
93.4075,73.5804
91.4505,95.1483
91.4505,98.2062
91.4505,92.4005
91.4505,90.4557
91.4505,91.0416
91.4505,80.1071
13.224,16.9943
13.224,16.2902
13.224,19.873
13.224,13.2128
13.224,17.9363
13.224,12.6784
13.224,23.7732
13.224,24.5986
13.224,15.3654
13.224,13.4767
13.224,6.3017
13.224,2.1643
13.224,13.0421
13.224,4.16593
40.4011,40.4818
40.4011,47.0179
40.4011,39.8357
40.4011,39.7902
40.4011,48.7537
40.4011,52.2435
40.4011,45.2444
40.4011,47.2658
40.4011,42.4416
40.4011,35.0564
40.4011,49.4672
76.6753,79.9882
76.6753,76.7385
76.6753,76.0878
76.6753,76.4047
76.6753,73.933
76.6753,73.4616
76.6753,87.9466
76.6753,86.7322
76.6753,74.0501
76.6753,86.2703
76.6753,81.3608
59.8903,67.4835
59.8903,76.8454
73.122,81.3608
73.122,86.2703
73.122,80.0238
73.122,73.4616
4.30276,13.0596
4.30276,15.8126
4.30276,22.5004
4.30276,22.6616
4.30276,21.1052
4.30276,21.3897
4.30276,20.8101
89.1951,85.5551
89.1951,78.4856
89.1951,78.3017
89.1951,83.9036
89.1951,76.003
89.1951,84.3407
89.1951,76.0559
89.1951,84.8053
89.1951,75.0283
15.3654,13.8148
15.3654,17.9363
15.3654,13.2128
15.3654,19.873
15.3654,6.3017
15.3654,16.9943
15.3654,23.7732
15.3654,24.5986
15.3654,4.16593
15.3654,12.8136
15.3654,2.1643
20.7833,20.3041
20.7833,19.0643
20.7833,23.3282
20.7833,18.4095
20.7833,29.8446
20.7833,14.5114
20.7833,22.6693
20.7833,24.0582
20.7833,24.5847
20.7833,31.5535
20.7833,30.6141
20.7833,10.5103
20.7833,1.75277
73.6777,69.2776
73.6777,74.8614
73.6777,80.0238
73.6777,72.1906
73.6777,87.2306
73.6777,83.3592
73.6777,82.6968
73.6777,81.3608
73.6777,60.5816
73.6777,58.6499
73.6777,65.2569
73.6777,69.3587
73.6777,56.3582
73.6777,55.4491
69.4076,59.6069
69.4076,77.4667
69.4076,60.493
69.4076,82.4344
69.4076,77.3547
42.4416,45.2444
42.4416,51.1072
42.4416,47.2658
42.4416,39.8357
42.4416,49.4672
42.4416,55.9121
42.4416,56.294
42.4416,55.2245
42.4416,55.9588
42.4416,57.799
42.4416,47.0179
14.5114,20.3041
14.5114,21.0827
14.5114,19.0643
14.5114,1.75277
14.5114,29.8446
14.5114,30.6141
14.5114,23.3282
14.5114,31.5535
14.5114,26.788
14.5114,18.4095
82.4344,87.1141
82.4344,82.7034
82.4344,77.4667
37.5275,43.8428
77.6084,77.3547
77.6084,73.5804
77.6084,73.335
77.6084,77.4667
77.6084,69.3587
77.6084,72.1906
77.6084,74.8614
77.6084,67.6563
77.6084,65.2569
77.6084,89.9567
81.643,87.9466
81.643,73.4616
81.643,91.0079
81.643,91.3752
81.643,84.8053
81.643,97.459
81.643,84.3407
81.643,83.9036
81.643,92.2784
87.0291,82.7034
87.0291,91.0416
87.0291,90.4557
87.0291,95.1483
23.8484,22.004
23.8484,24.0582
23.8484,24.5847
23.8484,17.0705
23.8484,22.6693
23.8484,15.2665
23.8484,30.112
23.8484,18.4095
23.8484,9.56048
23.8484,10.7197
23.8484,10.5103
23.8484,19.0643
23.8484,9.14387
23.8484,29.1715
23.8484,27.5135
85.5551,83.9036
85.5551,78.3017
