y_0,y_1
56.9507,75.0957
56.9507,72.9492
63.2762,59.8369
63.2762,63.7657
63.2762,67.0742
90.7003,93.2108
90.7003,94.1233
90.7003,90.1092
90.7003,84.4974
90.7003,87.7768
90.7003,98.104
90.7003,78.0311
90.7003,76.0467
90.7003,88.2099
90.7003,84.3939
90.7003,83.9621
90.7003,83.08
65.1628,62.5577
65.1628,60.6789
65.1628,60.5757
65.1628,57.9087
65.1628,62.5415
65.1628,64.1144
65.1628,71.676
65.1628,54.2923
65.1628,71.8481
65.1628,62.4137
65.1628,62.4377
65.1628,50.9397
65.1628,69.594
49.6279,47.4765
49.6279,46.7856
49.6279,46.8988
49.6279,44.1401
49.6279,46.7347
49.6279,45.4404
49.6279,35.1735
49.6279,64.3886
49.6279,35.2979
49.6279,36.8143
49.6279,41.4022
49.6279,35.026
49.6279,36.4174
4.70601,5.22024
4.70601,3.67681
4.70601,3.26725
4.70601,2.11783
4.70601,1.70073
4.70601,1.01789
4.70601,7.00536
4.70601,11.159
4.70601,11.1281
4.70601,6.41786
4.70601,9.9938
4.70601,12.4429
4.70601,3.50947
4.70601,6.9671
4.70601,6.6199
4.70601,2.69894
4.70601,5.55251
87.1523,92.769
87.1523,92.6571
87.1523,84.8787
87.1523,87.1492
65.6574,64.5593
65.6574,60.9334
65.6574,60.8762
65.6574,68.9247
65.6574,61.4935
65.6574,79.7831
65.6574,73.5229
65.6574,75.992
65.6574,81.1417
65.6574,72.3521
65.6574,75.9228
65.6574,79.8018
65.6574,84.0255
75.992,72.3521
75.992,79.8018
75.992,68.9247
75.992,64.5593
75.992,73.8224
75.992,74.5916
75.992,60.9334
75.992,69.594
75.992,84.0255
75.992,79.7831
75.992,73.5674
75.992,81.1417
88.6347,89.9642
88.6347,90.0343
88.6347,89.7953
88.6347,91.6029
88.6347,87.1492
88.6347,97.8173
88.6347,97.2209
88.6347,72.6087
88.6347,92.7719
81.7539,92.7719
81.7539,75.0957
81.7539,84.2643
91.6029,87.1492
91.6029,87.3449
91.6029,92.7719
91.6029,92.6571
91.6029,92.769
91.6029,97.8173
78.0311,84.4974
78.0311,73.5674
78.0311,87.7768
78.0311,90.6586
78.0311,90.1092
78.0311,65.894
78.0311,84.3939
78.0311,83.9621
78.0311,94.1233
78.0311,74.5916
78.0311,93.2108
78.0311,83.08
78.0311,73.8224
78.0311,88.2099
16.8354,19.3131
16.8354,17.1843
16.8354,12.2565
16.8354,22.1856
16.8354,12.4429
16.8354,11.159
16.8354,8.69469
16.8354,6.30775
16.8354,12.5984
16.8354,29.2726
16.8354,5.55251
46.7146,54.3438
46.7146,54.5829
46.7146,55.7606
46.7146,56.3615
46.7146,43.8219
46.7146,42.7411
46.7146,42.2467
46.7146,59.3968
46.7146,57.4341
46.7146,54.3549
46.7146,63.7657
33.1441,34.0366
33.1441,35.2656
59.8369,63.7657
59.8369,54.3549
59.8369,67.0742
59.8369,42.7411
68.5323,62.4137
68.5323,62.5415
68.5323,71.676
68.5323,71.8481
68.5323,66.4051
68.5323,60.5757
68.5323,60.6789
10.3832,12.1313
10.3832,6.6199
10.3832,6.9671
10.3832,15.3922
10.3832,3.74658
10.3832,16.2372
10.3832,6.41786
10.3832,16.6284
10.3832,7.00536
94.1233,98.104
94.1233,90.1092
94.1233,90.6586
94.1233,87.7768
94.1233,93.2108
94.1233,84.4974
94.1233,84.3939
94.1233,83.9621
94.1233,88.2099
94.1233,76.0467
94.1233,83.08
33.83,31.4896
33.83,37.7655
33.83,28.5126
33.83,41.4022
33.83,28.1271
33.83,27.6269
33.83,35.026
33.83,36.8143
33.83,36.4174
33.83,22.7025
33.83,22.9429
33.83,35.1735
33.83,31.1127
74.4829,74.762
74.4829,73.2601
74.4829,67.0742
74.4829,70.3455
74.4829,71.7154
74.4829,84.0247
74.4829,84.4463
74.4829,63.7657
74.4829,83.1558
74.4829,76.0287
74.4829,82.4401
74.4829,83.6229
74.4829,81.6559
74.4829,80.6358
67.8243,62.6497
67.8243,72.6087
67.8243,62.2043
67.8243,70.2481
67.8243,72.9492
12.5984,8.69469
12.5984,8.93139
12.5984,6.30775
12.5984,12.2565
12.5984,5.55251
12.5984,9.9938
12.5984,7.72394
12.5984,2.69894
12.5984,3.50947
12.5984,11.1281
12.5984,17.1843
27.6269,31.4896
27.6269,33.2941
27.6269,37.7655
27.6269,31.1127
27.6269,28.1271
27.6269,22.9429
27.6269,28.5126
27.6269,22.7025
27.6269,14.2472
27.6269,41.4022
70.2481,65.5452
70.2481,84.8787
70.2481,72.6087
96.9765,85.9336
75.0957,72.9492
75.0957,84.2643
75.0957,86.0055
75.0957,72.6087
75.0957,83.6229
75.0957,70.3455
75.0957,73.2601
75.0957,63.1439
75.0957,82.4401
75.0957,59.9925
31.5381,42.2467
31.5381,42.7411
31.5381,30.5485
31.5381,24.4604
31.5381,16.6284
31.5381,35.4238
31.5381,16.2372
31.5381,15.3922
31.5381,17.721
86.7968,84.8787
86.7968,92.769
86.7968,92.6571
86.7968,87.1492
45.4404,46.7347
45.4404,36.8143
45.4404,36.4174
45.4404,46.7856
45.4404,35.026
45.4404,46.8988
45.4404,33.3815
45.4404,41.4022
45.4404,49.0099
45.4404,47.4765
45.4404,35.1735
45.4404,37.7655
45.4404,44.1401
45.4404,28.3702
45.4404,60.9334
12.1313,15.3922
12.1313,6.9671
12.1313,16.2372
12.1313,6.6199
12.1313,16.6284
12.1313,6.41786
12.1313,7.00536
12.1313,3.74658
12.1313,3.67681
60.9334,64.5593
60.9334,68.9247
60.9334,72.3521
60.9334,75.9228
60.9334,46.7347
60.9334,46.7856
60.9334,47.7202
60.9334,46.8988
60.9334,61.4935
60.9334,79.8018
69.594,62.4377
69.594,71.8481
69.594,64.1144
69.594,71.676
69.594,62.5577
69.594,72.3521
69.594,60.5757
69.594,75.9228
69.594,68.9247
69.594,66.4051
69.594,60.6789
69.594,62.5415
69.594,62.4137
69.594,57.9087
69.594,54.2923
69.594,64.5593
87.3449,87.1492
87.3449,89.7953
87.3449,90.0343
87.3449,89.9642
87.3449,92.7719
69.2287,66.6492
69.2287,64.584
69.2287,62.2043
69.2287,62.6497
11.159,12.4429
11.159,17.1843
11.159,3.26725
11.159,5.22024
11.159,11.1281
11.159,19.3131
11.159,6.30775
11.159,9.9938
11.159,1.70073
11.159,8.69469
11.159,12.2565
11.159,5.55251
11.159,1.01789
11.159,22.1856
11.159,3.67681
11.159,2.11783
11.159,0.41052
11.159,3.50947
92.769,84.8787
92.769,87.1492
92.769,89.7953
92.769,90.0343
92.769,89.9642
87.1492,89.7953
87.1492,90.0343
87.1492,89.9642
87.1492,92.6571
87.1492,84.8787
