idc,idr
19914:64093,12569250014:12569249345
19914:274804,12569250014:12569248805
19914:27677,12569250014:12569249980
19914:225161,12569250014:12569248879
19914:22133,12569250014:12569248587
19914:40321,12569250014:12569249549
19914:91209,12569250014:12569249433
19914:167473,12569250014:12569248590
19914:270428,12569250014:12578570708
20095:321281,12568653084:12568651385
20095:280324,12568653084:12568651686
20095:333997,12568653084:12568651291
20095:314527,12568653084:12568651607
20095:51782,12568653084:12568652945
20095:293114,12568653084:12568651423
22133:64093,12569248587:12569249345
22133:126131,12569248587:12569247408
22133:274804,12569248587:12569248805
22133:40321,12569248587:12569249549
22133:296385,12569248587:12569248674
22133:389520,12569248587:12569247473
22133:401777,12569248587:12569247548
22133:136207,12569248587:12569249376
22133:96436,12569248587:12569247023
22133:414682,12569248587:12569247091
22133:38488,12569248587:12569249655
22133:49897,12569248587:12569247257
22133:226383,12569248587:12569248900
22635:116583,12578571554:12578570962
22635:37719,12578571554:12578571351
22635:507631,12578571554:z-12578534037
22635:501474,12578571554:z-12578537121
22635:503065,12578571554:z-12578537082
22635:368572,12578571554:12568650992
22635:500364,12578571554:z-12578537530
22635:155262,12578571554:12577987651
22635:205304,12578571554:12577987762
22635:128564,12578571554:12577987655
22635:424769,12578571554:12577987716
22635:506477,12578571554:z-12579123206
22635:34934,12578571554:12577991099
24136:375113,12568653037:12568650506
24136:234439,12568653037:12568650468
24136:97441,12568653037:12568650463
24136:305274,12568653037:12568651566
24136:209761,12568653037:12568652109
24136:125672,12568653037:12568652784
24136:65169,12568653037:12568651219
24136:329974,12568653037:12568651213
24136:78028,12568653037:12568652263
24136:398823,12568653037:12568650673
24136:219980,12568653037:12568652301
24136:293114,12568653037:12568651423
24136:343227,12568653037:12568651536
24136:208237,12568653037:12568651709
24136:105283,12568653037:12568652852
24136:170332,12568653037:12568652219
24695:335778,12577990915:12578569690
24695:279259,12577990915:12578569661
24695:69063,12577990915:12578571299
24695:289732,12577990915:12578570388
24695:85715,12577990915:12578570995
24695:154988,12577990915:12578570694
26217:410451,12568652711:12568649613
26217:426980,12568652711:12568649757
26217:428783,12568652711:12568650313
26217:273619,12568652711:12568651746
26217:40115,12568652711:12568653000
26217:91209,12568652711:12569249433
27677:115366,12569249980:12569249360
27677:71026,12569249980:12569249332
27677:303889,12569249980:12569248457
27677:225161,12569249980:12569248879
27677:239608,12569249980:12569248133
27677:175786,12569249980:12569248279
27677:106326,12569249980:12569248265
