Hp1_x,y,z
58.6791,97.2209,78.1909
50.5409,86.0055,73.335
60.3764,97.8173,80.1071
49.1602,84.2643,73.5804
61.4492,92.7719,92.4005
51.0989,75.0957,77.6084
48.4585,81.7539,93.4075
58.9097,72.9492,77.3547
42.7197,95.7774,70.0154
42.543,83.6229,69.3587
63.8361,72.6087,77.4667
75.1517,88.6347,78.4853
13.5772,54.3549,86.2703
6.34549,94.7786,82.3193
19.5288,84.4463,82.6968
22.0749,84.0247,83.3592
9.4338,96.6239,98.9337
41.7885,46.7347,22.004
46.9998,45.4404,23.8484
39.073,46.7856,17.0705
31.0202,47.5555,23.0686
47.704,36.4174,24.5847
37.3428,46.8988,15.2665
41.401,33.3815,30.112
49.0287,36.8143,24.0582
48.9799,35.026,22.6693
38.5799,47.4765,10.7197
40.0238,28.3702,29.1715
54.5758,36.9414,23.2763
44.4132,49.6279,10.4739
41.6431,49.0099,9.56048
35.3228,44.1401,9.14387
35.146,60.9334,27.5135
22.3781,47.7202,27.6651
33.5889,29.2726,35.0564
48.0123,35.1735,10.5103
20.533,39.8681,24.392
22.3781,47.7202,27.6651
37.3428,46.8988,15.2665
39.073,46.7856,17.0705
41.7885,46.7347,22.004
19.6295,46.8728,27.8827
20.533,39.8681,24.392
18.5595,46.7667,27.7492
18.5639,41.0037,24.9869
38.5799,47.4765,10.7197
35.146,60.9334,27.5135
35.3228,44.1401,9.14387
15.7033,44.2492,26.5313
46.9998,45.4404,23.8484
18.9741,54.7721,13.8644
41.6431,49.0099,9.56048
35.0097,64.5593,26.9197
15.3685,48.275,13.7155
44.4132,49.6279,10.4739
41.401,33.3815,30.112
10.1033,11.1281,57.799
15.8322,13.3795,52.9256
7.14484,9.9938,55.9121
16.7008,5.22024,61.8548
20.363,4.70601,63.3937
21.828,11.159,52.2435
23.6743,3.69043,63.6552
20.679,17.1843,47.0179
22.8702,7.00536,75.0283
0.62721,7.72394,56.294
25.1478,3.67681,68.7236
4.01343,3.50947,55.9588
26.0686,12.4429,48.7537
40.458,86.3011,52.5858
43.0388,87.0655,46.7247
40.6254,86.1387,45.4733
41.5349,81.1417,42.3589
41.4326,79.7831,41.7297
53.7008,93.7341,44.5873
29.9898,83.1558,60.5816
45.6681,84.0255,35.1933
40.8158,82.4401,65.2569
34.0436,76.0287,58.6499
23.4409,81.6559,56.3582
95.7859,59.7346,3.89177
85.4784,54.9463,3.38707
84.0984,53.2394,2.59884
83.2318,53.9657,1.99428
82.7075,54.0094,1.67584
86.4474,46.045,4.40287
80.3495,47.5438,3.56804
76.9487,68.7524,5.03298
73.0689,62.0896,7.37454
74.9885,49.6861,2.68327
9.35709,45.5349,19.6287
15.3685,48.275,13.7155
18.9741,54.7721,13.8644
4.67995,57.9087,21.184
5.12592,54.2923,25.8065
15.7033,44.2492,26.5313
6.58951,60.5757,21.3897
8.42084,62.5415,15.8126
4.48077,60.6789,20.8101
12.3338,62.4137,13.0596
18.5595,46.7667,27.7492
18.5639,41.0037,24.9869
19.6295,46.8728,27.8827
5.50422,62.5577,22.905
20.533,39.8681,24.392
22.3781,47.7202,27.6651
10.9247,64.1144,24.2866
0.46715,37.3246,7.81691
9.93585,43.1935,32.8029
9.50289,42.7845,33.6108
14.408,62.4377,29.1502
0.347,65.1628,21.1296
1.76199,66.4051,21.1052
20.363,4.70601,63.3937
25.1478,3.67681,68.7236
27.2796,3.26725,59.6586
27.7266,2.11783,67.3755
28.9323,1.70073,62.1242
16.7008,5.22024,61.8548
30.7268,1.01789,63.6091
22.8702,7.00536,75.0283
25.1855,6.41786,76.0559
21.828,11.159,52.2435
30.3003,6.9671,78.3017
15.8322,13.3795,52.9256
10.1033,11.1281,57.799
31.8361,6.6199,78.4856
26.0686,12.4429,48.7537
38.2936,3.74658,76.003
7.14484,9.9938,55.9121
37.8505,0.41052,50.1011
15.7033,44.2492,26.5313
19.6295,46.8728,27.8827
18.5595,46.7667,27.7492
22.3781,47.7202,27.6651
9.35709,45.5349,19.6287
9.93585,43.1935,32.8029
15.3685,48.275,13.7155
9.50289,42.7845,33.6108
10.0326,50.9397,15.7446
18.9741,54.7721,13.8644
33.5889,29.2726,35.0564
26.2546,34.463,42.7382
42.0127,57.4341,74.0501
41.0709,56.3615,76.4047
41.2882,55.7606,76.0878
40.2232,54.5829,76.7385
38.3128,70.3455,72.1906
49.7239,56.9507,69.7162
50.1976,63.1439,67.6563
36.2814,73.2601,74.8614
34.9113,59.3968,86.7322
28.7218,54.3438,79.9882
51.0989,75.0957,77.6084
