Hn0_x,y,z
10.1033,11.1281,57.799
63.4,37.7655,19.0643
42.3459,74.5916,13.4767
45.4065,60.8762,44.7665
19.119,16.6284,84.8053
64.1128,96.9765,37.5275
41.4472,65.6574,35.1604
54.6616,59.9925,89.9567
87.6438,42.8857,96.2301
10.0326,50.9397,15.7446
3.30739,30.5485,91.0079
75.4433,91.6029,91.4505
41.4326,79.7831,41.7297
4.64622,17.721,92.2784
28.9323,1.70073,62.1242
49.727,73.5674,16.2902
75.8617,90.0343,89.6333
76.1135,89.7953,90.2198
29.4471,12.1313,85.5551
25.1478,3.67681,68.7236
39.019,90.8303,49.1266
52.8361,84.3939,23.7732
48.0576,44.5695,70.551
96.4156,0.73973,15.3705
44.0333,43.8219,73.933
71.9214,22.7025,31.5535
82.7075,54.0094,1.67584
13.5772,54.3549,86.2703
53.7008,93.7341,44.5873
20.363,4.70601,63.3937
94.4322,92.769,91.0416
84.287,95.8902,39.5081
16.1625,69.594,29.4058
6.34549,94.7786,82.3193
4.01343,3.50947,55.9588
26.0686,12.4429,48.7537
41.4667,61.7427,72.3977
6.34549,94.7786,82.3193
47.704,36.4174,24.5847
49.727,73.5674,16.2902
76.1135,89.7953,90.2198
56.8938,93.2108,6.3017
52.4544,62.7791,57.0389
27.2796,3.26725,59.6586
46.0979,83.08,2.1643
82.7075,54.0094,1.67584
21.828,11.159,52.2435
84.287,95.8902,39.5081
43.4093,64.3886,7.30074
14.1536,31.5381,81.643
53.7008,93.7341,44.5873
80.1813,87.1492,95.1483
42.7197,95.7774,70.0154
36.3822,79.8018,25.8215
0.347,65.1628,21.1296
96.4156,0.73973,15.3705
58.6791,97.2209,78.1909
53.7008,93.7341,44.5873
42.0127,57.4341,74.0501
64.2412,65.894,12.6784
12.167,93.2038,32.7894
96.456,69.2287,61.6855
10.4227,49.1671,16.2351
60.0459,41.4022,18.4095
38.9692,96.8522,69.7095
98.9564,42.7734,31.8296
12.0842,12.2565,39.8357
33.5889,29.2726,35.0564
58.9097,72.9492,77.3547
48.9799,35.026,22.6693
73.0689,62.0896,7.37454
60.0459,41.4022,18.4095
22.0749,84.0247,83.3592
19.119,16.6284,84.8053
18.9741,54.7721,13.8644
49.4851,35.2979,0.5351
46.0979,83.08,2.1643
66.2131,31.4896,20.3041
99.3229,64.584,61.0793
32.0696,68.9247,26.3474
75.1989,89.9642,89.113
1.76199,66.4051,21.1052
21.2412,16.2372,84.3407
63.4,37.7655,19.0643
34.0436,76.0287,58.6499
12.0842,12.2565,39.8357
42.7197,95.7774,70.0154
53.6355,97.1021,14.2167
21.757,80.6358,55.4491
78.5024,70.1284,18.9121
42.543,83.6229,69.3587
82.7075,54.0094,1.67584
98.2634,20.2903,24.082
49.1602,84.2643,73.5804
60.2958,28.944,86.705
0.62721,7.72394,56.294
95.7859,59.7346,3.89177
26.9839,74.762,69.2776
42.7197,95.7774,70.0154
57.3909,60.7665,61.2651
1.08497,16.5653,95.2898
46.0979,83.08,2.1643
56.8938,93.2108,6.3017
72.8807,14.2472,26.788
41.4667,61.7427,72.3977
48.9799,35.026,22.6693
0.13593,8.93139,51.1072
85.4784,54.9463,3.38707
7.14484,9.9938,55.9121
36.3822,79.8018,25.8215
34.0436,76.0287,58.6499
49.7239,56.9507,69.7162
58.795,28.5126,23.3282
44.4132,49.6279,10.4739
49.727,73.5674,16.2902
1.08497,16.5653,95.2898
95.1313,84.8787,82.7034
58.8107,76.0467,12.8136
44.0333,43.8219,73.933
12.0842,12.2565,39.8357
20.679,17.1843,47.0179
49.4851,35.2979,0.5351
80.1813,87.1492,95.1483
25.2707,15.3922,83.9036
53.7008,93.7341,44.5873
58.6791,97.2209,78.1909
64.2412,65.894,12.6784
58.9097,72.9492,77.3547
82.4213,62.6497,59.6069
42.543,83.6229,69.3587
32.7734,61.4935,46.2113
43.4093,64.3886,7.30074
56.8938,93.2108,6.3017
38.2936,3.74658,76.003
4.64622,17.721,92.2784
12.2958,71.8481,22.6616
42.0127,57.4341,74.0501
36.3822,79.8018,25.8215
34.0436,76.0287,58.6499
96.7651,3.40339,12.1549
53.7008,93.7341,44.5873
4.01343,3.50947,55.9588
41.4667,61.7427,72.3977
7.14484,9.9938,55.9121
88.574,49.5603,85.7626
96.7651,3.40339,12.1549
33.8099,66.5083,3.54364
52.8386,98.104,13.8148
59.5245,90.7003,11.2651
27.2796,3.26725,59.6586
23.4409,81.6559,56.3582
64.2412,65.894,12.6784
37.3428,46.8988,15.2665
73.1505,27.6269,14.5114
32.0696,68.9247,26.3474
50.7496,43.8098,67.9615
19.5288,84.4463,82.6968
53.6355,97.1021,14.2167
64.1351,33.83,20.7833
84.0984,53.2394,2.59884
8.42084,62.5415,15.8126
52.3406,83.9621,24.5986
4.67995,57.9087,21.184
82.4213,62.6497,59.6069
0.347,65.1628,21.1296
84.0984,53.2394,2.59884
36.2814,73.2601,74.8614
74.289,67.8243,69.4076
37.3428,46.8988,15.2665
21.2412,16.2372,84.3407
6.30368,93.7551,13.3162
66.2131,31.4896,20.3041
9.20727,59.8369,73.122
82.4213,62.6497,59.6069
18.9741,54.7721,13.8644
46.0979,83.08,2.1643
76.9487,68.7524,5.03298
7.39656,63.2762,67.3992
21.828,11.159,52.2435
39.073,46.7856,17.0705
19.059,63.7657,81.3608
38.9692,96.8522,69.7095
18.5595,46.7667,27.7492
87.2094,32.5096,59.7671
40.6254,86.1387,45.4733
75.4433,91.6029,91.4505
3.88711,24.4604,91.3752
11.1418,68.5323,4.30276
6.30368,93.7551,13.3162
82.4213,62.6497,59.6069
57.718,5.36566,48.8287
41.401,33.3815,30.112
33.8099,66.5083,3.54364
40.8158,82.4401,65.2569
9.13155,6.87267,95.9705
53.9193,10.4577,32.9354
6.72896,5.55251,49.4672
0.347,65.1628,21.1296
19.8681,16.8354,40.4011
92.1247,92.6571,90.4557
43.0388,87.0655,46.7247
7.39656,63.2762,67.3992
49.0287,36.8143,24.0582
99.3229,64.584,61.0793
1.76199,66.4051,21.1052
87.9966,65.5452,87.1141
52.3406,83.9621,24.5986
26.8064,78.7166,20.4476
16.7008,5.22024,61.8548
71.9214,22.7025,31.5535
53.9193,10.4577,32.9354
40.6254,86.1387,45.4733
60.2958,28.944,86.705
57.427,90.1092,17.9363
11.1418,68.5323,4.30276
23.8242,19.3131,40.4818
96.9563,86.7968,87.0291
0.76615,6.85237,89.3295
26.0686,12.4429,48.7537
3.30739,30.5485,91.0079
41.2882,55.7606,76.0878
95.7859,59.7346,3.89177
50.7496,43.8098,67.9615
30.7268,1.01789,63.6091
93.2148,34.0366,67.4835
1.08497,16.5653,95.2898
2.27721,12.5984,42.4416
3.88711,24.4604,91.3752
16.1625,69.594,29.4058
36.3822,79.8018,25.8215
21.2412,16.2372,84.3407
84.0984,53.2394,2.59884
4.67995,57.9087,21.184
74.2789,85.9336,43.8428
78.5024,70.1284,18.9121
41.6431,49.0099,9.56048
73.0689,62.0896,7.37454
73.1505,27.6269,14.5114
19.6295,46.8728,27.8827
26.0686,12.4429,48.7537
48.9799,35.026,22.6693
12.7697,68.9775,2.24245
61.4492,92.7719,92.4005
96.456,69.2287,61.6855
9.13155,6.87267,95.9705
33.5889,29.2726,35.0564
59.8289,5.19358,40.1614
54.6616,59.9925,89.9567
38.9692,96.8522,69.7095
19.059,63.7657,81.3608
44.0333,43.8219,73.933
84.0984,53.2394,2.59884
58.6729,78.0311,13.224
39.073,46.7856,17.0705
0.347,65.1628,21.1296
83.2991,35.2656,76.8454
93.2148,34.0366,67.4835
28.718,71.7154,87.2306
57.5476,14.4313,21.7369
18.5595,46.7667,27.7492
32.0696,68.9247,26.3474
82.5662,70.2481,82.4344
66.2131,31.4896,20.3041
38.2936,3.74658,76.003
99.3229,64.584,61.0793
96.7651,3.40339,12.1549
45.4065,60.8762,44.7665
26.9839,74.762,69.2776
11.2863,35.4238,97.459
95.7859,59.7346,3.89177
6.34549,94.7786,82.3193
27.2796,3.26725,59.6586
56.8938,93.2108,6.3017
11.0276,42.7411,73.4616
84.0984,53.2394,2.59884
57.5476,14.4313,21.7369
42.7197,95.7774,70.0154
34.0436,76.0287,58.6499
58.9097,72.9492,77.3547
72.8807,14.2472,26.788
75.1989,89.9642,89.113
64.1351,33.83,20.7833
41.5349,81.1417,42.3589
60.2958,28.944,86.705
9.13155,6.87267,95.9705
75.4433,91.6029,91.4505
38.5799,47.4765,10.7197
84.4457,34.2233,86.0506
11.2863,35.4238,97.459
96.7651,3.40339,12.1549
21.828,11.159,52.2435
83.8795,33.6207,60.1026
4.48077,60.6789,20.8101
43.0388,87.0655,46.7247
42.7197,95.7774,70.0154
38.5799,47.4765,10.7197
87.9966,65.5452,87.1141
21.2412,16.2372,84.3407
6.58951,60.5757,21.3897
39.073,46.7856,17.0705
21.757,80.6358,55.4491
0.62721,7.72394,56.294
84.287,95.8902,39.5081
16.7008,5.22024,61.8548
9.13155,6.87267,95.9705
92.1247,92.6571,90.4557
8.42084,62.5415,15.8126
86.4474,46.045,4.40287
9.20727,59.8369,73.122
42.543,83.6229,69.3587
48.0576,44.5695,70.551
82.4213,62.6497,59.6069
31.8361,6.6199,78.4856
41.7885,46.7347,22.004
37.8505,0.41052,50.1011
21.2412,16.2372,84.3407
33.8099,66.5083,3.54364
31.1238,95.7497,68.6507
28.7218,54.3438,79.9882
19.119,16.6284,84.8053
32.0696,68.9247,26.3474
86.4474,46.045,4.40287
82.5662,70.2481,82.4344
18.5639,41.0037,24.9869
85.8102,33.1441,59.8903
10.9247,64.1144,24.2866
60.3764,97.8173,80.1071
41.401,33.3815,30.112
36.0134,10.3832,89.1951
50.5409,86.0055,73.335
66.2131,31.4896,20.3041
2.97935,2.69894,55.2245
49.727,73.5674,16.2902
32.599,75.992,25.3291
28.9323,1.70073,62.1242
80.3495,47.5438,3.56804
55.6101,73.5229,38.7284
31.1238,95.7497,68.6507
21.7357,67.0742,80.0238
0.46715,37.3246,7.81691
80.3495,47.5438,3.56804
85.4784,54.9463,3.38707
45.4065,60.8762,44.7665
63.8361,72.6087,77.4667
0.13593,8.93139,51.1072
73.0689,62.0896,7.37454
30.428,75.9228,26.4987
76.1135,89.7953,90.2198
3.15515,16.4011,92.0965
36.3822,79.8018,25.8215
9.35709,45.5349,19.6287
71.6866,87.3449,98.2062
34.0436,76.0287,58.6499
86.4474,46.045,4.40287
52.8361,84.3939,23.7732
84.287,95.8902,39.5081
76.1135,89.7953,90.2198
29.4471,12.1313,85.5551
26.0686,12.4429,48.7537
91.6913,71.338,21.2149
97.961,66.6492,61.1756
16.7008,5.22024,61.8548
19.6295,46.8728,27.8827
42.3459,74.5916,13.4767
48.0576,44.5695,70.551
34.9113,59.3968,86.7322
49.727,73.5674,16.2902
82.4213,62.6497,59.6069
41.0709,56.3615,76.4047
66.2131,31.4896,20.3041
39.073,46.7856,17.0705
20.679,17.1843,47.0179
41.6431,49.0099,9.56048
9.13155,6.87267,95.9705
3.88711,24.4604,91.3752
42.543,83.6229,69.3587
58.9097,72.9492,77.3547
83.2991,35.2656,76.8454
70.9985,63.9829,49.5312
64.2412,65.894,12.6784
84.4457,34.2233,86.0506
84.0984,53.2394,2.59884
21.828,11.159,52.2435
21.7357,67.0742,80.0238
27.7266,2.11783,67.3755
55.6101,73.5229,38.7284
4.48077,60.6789,20.8101
71.6866,87.3449,98.2062
6.72896,5.55251,49.4672
23.4409,81.6559,56.3582
41.0709,56.3615,76.4047
21.757,80.6358,55.4491
94.4322,92.769,91.0416
96.4707,87.1523,89.5237
49.727,73.5674,16.2902
87.6438,42.8857,96.2301
60.2958,28.944,86.705
34.0436,76.0287,58.6499
26.0686,12.4429,48.7537
87.6438,42.8857,96.2301
15.3685,48.275,13.7155
44.0333,43.8219,73.933
42.7197,95.7774,70.0154
32.9278,97.6534,69.6481
4.64622,17.721,92.2784
71.6866,87.3449,98.2062
96.456,69.2287,61.6855
26.0686,12.4429,48.7537
40.0238,28.3702,29.1715
30.7268,1.01789,63.6091
39.073,46.7856,17.0705
60.2958,28.944,86.705
25.1478,3.67681,68.7236
41.2882,55.7606,76.0878
19.8681,16.8354,40.4011
94.4322,92.769,91.0416
92.1247,92.6571,90.4557
10.1033,11.1281,57.799
3.30739,30.5485,91.0079
48.0576,44.5695,70.551
41.4326,79.7831,41.7297
82.5662,70.2481,82.4344
4.67995,57.9087,21.184
41.6431,49.0099,9.56048
96.456,69.2287,61.6855
48.0576,44.5695,70.551
21.7357,67.0742,80.0238
55.6101,73.5229,38.7284
83.8795,33.6207,60.1026
0.76615,6.85237,89.3295
30.7268,1.01789,63.6091
36.2814,73.2601,74.8614
1.08497,16.5653,95.2898
63.4,37.7655,19.0643
34.9113,59.3968,86.7322
47.704,36.4174,24.5847
31.1238,95.7497,68.6507
27.0952,74.4829,73.6777
4.64622,17.721,92.2784
26.9839,74.762,69.2776
92.1247,92.6571,90.4557
41.2882,55.7606,76.0878
80.3495,47.5438,3.56804
93.2148,34.0366,67.4835
40.6254,86.1387,45.4733
25.1478,3.67681,68.7236
1.08497,16.5653,95.2898
18.5639,41.0037,24.9869
41.6431,49.0099,9.56048
0.13593,8.93139,51.1072
83.2991,35.2656,76.8454
73.1505,27.6269,14.5114
38.9692,96.8522,69.7095
52.3406,83.9621,24.5986
52.8361,84.3939,23.7732
33.8099,66.5083,3.54364
76.1135,89.7953,90.2198
27.7266,2.11783,67.3755
31.8361,6.6199,78.4856
0.13593,8.93139,51.1072
54.6616,59.9925,89.9567
16.7008,5.22024,61.8548
7.14484,9.9938,55.9121
19.119,16.6284,84.8053
8.09162,8.69469,45.2444
84.1804,62.2043,60.493
38.9692,96.8522,69.7095
28.718,71.7154,87.2306
19.119,16.6284,84.8053
42.3459,74.5916,13.4767
0.13593,8.93139,51.1072
45.4065,60.8762,44.7665
19.6295,46.8728,27.8827
21.757,80.6358,55.4491
32.9278,97.6534,69.6481
75.1989,89.9642,89.113
95.7859,59.7346,3.89177
9.13155,6.87267,95.9705
96.456,69.2287,61.6855
34.9113,59.3968,86.7322
84.1804,62.2043,60.493
41.7885,46.7347,22.004
27.9689,22.1856,39.7902
19.5288,84.4463,82.6968
49.4851,35.2979,0.5351
61.4492,92.7719,92.4005
33.5889,29.2726,35.0564
86.4474,46.045,4.40287
6.30368,93.7551,13.3162
1.08497,16.5653,95.2898
40.2232,54.5829,76.7385
63.8361,72.6087,77.4667
0.76615,6.85237,89.3295
37.3428,46.8988,15.2665
21.2412,16.2372,84.3407
35.0097,64.5593,26.9197
66.2131,31.4896,20.3041
92.1247,92.6571,90.4557
28.9323,1.70073,62.1242
35.3228,44.1401,9.14387
75.1989,89.9642,89.113
26.9839,74.762,69.2776
1.76199,66.4051,21.1052
64.1128,96.9765,37.5275
4.64622,17.721,92.2784
32.0696,68.9247,26.3474
48.0576,44.5695,70.551
21.7357,67.0742,80.0238
22.3781,47.7202,27.6651
18.5639,41.0037,24.9869
38.9692,96.8522,69.7095
96.4156,0.73973,15.3705
2.97935,2.69894,55.2245
83.8795,33.6207,60.1026
75.8617,90.0343,89.6333
0.13593,8.93139,51.1072
41.5349,81.1417,42.3589
0.76615,6.85237,89.3295
10.9247,64.1144,24.2866
25.1855,6.41786,76.0559
36.3822,79.8018,25.8215
58.8107,76.0467,12.8136
10.0326,50.9397,15.7446
84.4457,34.2233,86.0506
19.119,16.6284,84.8053
18.5595,46.7667,27.7492
26.9839,74.762,69.2776
23.8242,19.3131,40.4818
51.0989,75.0957,77.6084
54.6616,59.9925,89.9567
74.2789,85.9336,43.8428
19.059,63.7657,81.3608
33.5889,29.2726,35.0564
86.4474,46.045,4.40287
45.4065,60.8762,44.7665
9.93585,43.1935,32.8029
91.6913,71.338,21.2149
23.4409,81.6559,56.3582
65.717,31.1127,1.75277
30.0773,72.3521,24.126
40.6254,86.1387,45.4733
28.9323,1.70073,62.1242
83.2991,35.2656,76.8454
50.5409,86.0055,73.335
38.9692,96.8522,69.7095
1.76199,66.4051,21.1052
40.458,86.3011,52.5858
75.1989,89.9642,89.113
21.7357,67.0742,80.0238
4.95903,7.04752,99.762
8.42084,62.5415,15.8126
83.2318,53.9657,1.99428
22.0749,84.0247,83.3592
96.4156,0.73973,15.3705
11.0276,42.7411,73.4616
15.2025,42.2467,87.9466
12.3338,62.4137,13.0596
57.427,90.1092,17.9363
96.4156,0.73973,15.3705
10.0326,50.9397,15.7446
75.8617,90.0343,89.6333
84.4457,34.2233,86.0506
1.08497,16.5653,95.2898
66.2131,31.4896,20.3041
60.2958,28.944,86.705
5.12592,54.2923,25.8065
10.9247,64.1144,24.2866
41.401,33.3815,30.112
96.4156,0.73973,15.3705
13.5772,54.3549,86.2703
10.0326,50.9397,15.7446
31.1238,95.7497,68.6507
70.9985,63.9829,49.5312
21.7357,67.0742,80.0238
22.0749,84.0247,83.3592
21.828,11.159,52.2435
45.6681,84.0255,35.1933
41.6431,49.0099,9.56048
25.2707,15.3922,83.9036
32.0696,68.9247,26.3474
52.8361,84.3939,23.7732
25.1478,3.67681,68.7236
42.3459,74.5916,13.4767
28.7218,54.3438,79.9882
3.88711,24.4604,91.3752
19.6295,46.8728,27.8827
21.828,11.159,52.2435
34.0436,76.0287,58.6499
58.9097,72.9492,77.3547
57.427,90.1092,17.9363
84.287,95.8902,39.5081
19.119,16.6284,84.8053
71.6866,87.3449,98.2062
70.9985,63.9829,49.5312
23.8242,19.3131,40.4818
55.2444,61.6124,59.5111
16.7008,5.22024,61.8548
61.4492,92.7719,92.4005
49.4851,35.2979,0.5351
8.57597,6.30775,47.2658
82.4213,62.6497,59.6069
52.8386,98.104,13.8148
9.13155,6.87267,95.9705
