Hn1_x,y,z
85.4705,60.3942,64.7402
51.5208,62.7071,54.7034
85.4705,60.3942,64.7402
53.7008,93.7341,44.5873
53.6355,97.1021,14.2167
51.5208,62.7071,54.7034
51.5208,62.7071,54.7034
51.5208,62.7071,54.7034
53.6355,97.1021,14.2167
53.7008,93.7341,44.5873
53.6355,97.1021,14.2167
53.7008,93.7341,44.5873
98.2634,20.2903,24.082
85.4705,60.3942,64.7402
15.8322,13.3795,52.9256
53.7008,93.7341,44.5873
85.4705,60.3942,64.7402
53.7008,93.7341,44.5873
15.8322,13.3795,52.9256
98.2634,20.2903,24.082
85.4705,60.3942,64.7402
51.5208,62.7071,54.7034
15.8322,13.3795,52.9256
15.8322,13.3795,52.9256
15.8322,13.3795,52.9256
51.5208,62.7071,54.7034
18.9741,54.7721,13.8644
18.9741,54.7721,13.8644
51.5208,62.7071,54.7034
51.5208,62.7071,54.7034
18.9741,54.7721,13.8644
51.5208,62.7071,54.7034
18.9741,54.7721,13.8644
98.2634,20.2903,24.082
51.5208,62.7071,54.7034
53.7008,93.7341,44.5873
98.2634,20.2903,24.082
18.9741,54.7721,13.8644
51.5208,62.7071,54.7034
53.7008,93.7341,44.5873
51.5208,62.7071,54.7034
51.5208,62.7071,54.7034
18.9741,54.7721,13.8644
26.8064,78.7166,20.4476
18.9741,54.7721,13.8644
53.7008,93.7341,44.5873
74.9885,49.6861,2.68327
26.8064,78.7166,20.4476
98.2634,20.2903,24.082
74.9885,49.6861,2.68327
26.8064,78.7166,20.4476
26.8064,78.7166,20.4476
98.2634,20.2903,24.082
98.2634,20.2903,24.082
74.9885,49.6861,2.68327
98.2634,20.2903,24.082
74.9885,49.6861,2.68327
26.8064,78.7166,20.4476
98.2634,20.2903,24.082
53.7008,93.7341,44.5873
15.8322,13.3795,52.9256
74.9885,49.6861,2.68327
74.9885,49.6861,2.68327
74.9885,49.6861,2.68327
15.8322,13.3795,52.9256
15.8322,13.3795,52.9256
15.8322,13.3795,52.9256
18.9741,54.7721,13.8644
98.2634,20.2903,24.082
98.2634,20.2903,24.082
18.9741,54.7721,13.8644
74.9885,49.6861,2.68327
98.2634,20.2903,24.082
18.9741,54.7721,13.8644
74.9885,49.6861,2.68327
78.5024,70.1284,18.9121
78.5024,70.1284,18.9121
78.5024,70.1284,18.9121
26.8064,78.7166,20.4476
26.8064,78.7166,20.4476
78.5024,70.1284,18.9121
26.8064,78.7166,20.4476
26.8064,78.7166,20.4476
59.5245,90.7003,11.2651
59.5245,90.7003,11.2651
57.718,5.36566,48.8287
78.5024,70.1284,18.9121
78.5024,70.1284,18.9121
57.718,5.36566,48.8287
7.39656,63.2762,67.3992
78.5024,70.1284,18.9121
59.5245,90.7003,11.2651
78.5024,70.1284,18.9121
78.5024,70.1284,18.9121
59.5245,90.7003,11.2651
59.5245,90.7003,11.2651
40.89,93.4999,2.25816
7.39656,63.2762,67.3992
78.5024,70.1284,18.9121
59.5245,90.7003,11.2651
0.347,65.1628,21.1296
78.5024,70.1284,18.9121
0.347,65.1628,21.1296
40.89,93.4999,2.25816
57.718,5.36566,48.8287
57.718,5.36566,48.8287
49.7239,56.9507,69.7162
40.89,93.4999,2.25816
40.89,93.4999,2.25816
49.7239,56.9507,69.7162
0.347,65.1628,21.1296
0.347,65.1628,21.1296
40.89,93.4999,2.25816
78.5024,70.1284,18.9121
0.347,65.1628,21.1296
49.7239,56.9507,69.7162
7.39656,63.2762,67.3992
49.7239,56.9507,69.7162
49.7239,56.9507,69.7162
7.39656,63.2762,67.3992
0.347,65.1628,21.1296
57.718,5.36566,48.8287
57.718,5.36566,48.8287
49.7239,56.9507,69.7162
12.167,93.2038,32.7894
44.4132,49.6279,10.4739
44.4132,49.6279,10.4739
7.39656,63.2762,67.3992
12.167,93.2038,32.7894
12.167,93.2038,32.7894
49.7239,56.9507,69.7162
57.718,5.36566,48.8287
49.7239,56.9507,69.7162
12.167,93.2038,32.7894
49.7239,56.9507,69.7162
0.347,65.1628,21.1296
49.7239,56.9507,69.7162
20.363,4.70601,63.3937
7.39656,63.2762,67.3992
0.347,65.1628,21.1296
59.5245,90.7003,11.2651
12.167,93.2038,32.7894
12.167,93.2038,32.7894
7.39656,63.2762,67.3992
49.7239,56.9507,69.7162
12.167,93.2038,32.7894
20.363,4.70601,63.3937
12.167,93.2038,32.7894
0.347,65.1628,21.1296
12.167,93.2038,32.7894
0.347,65.1628,21.1296
0.347,65.1628,21.1296
12.167,93.2038,32.7894
12.167,93.2038,32.7894
41.4472,65.6574,35.1604
41.4472,65.6574,35.1604
41.4472,65.6574,35.1604
96.4707,87.1523,89.5237
0.347,65.1628,21.1296
0.347,65.1628,21.1296
96.4707,87.1523,89.5237
12.167,93.2038,32.7894
12.167,93.2038,32.7894
96.4707,87.1523,89.5237
48.4585,81.7539,93.4075
20.363,4.70601,63.3937
20.363,4.70601,63.3937
20.363,4.70601,63.3937
96.4707,87.1523,89.5237
96.4707,87.1523,89.5237
75.4433,91.6029,91.4505
96.4707,87.1523,89.5237
96.4707,87.1523,89.5237
96.4707,87.1523,89.5237
75.1517,88.6347,78.4853
75.4433,91.6029,91.4505
96.4707,87.1523,89.5237
48.4585,81.7539,93.4075
48.4585,81.7539,93.4075
75.4433,91.6029,91.4505
48.4585,81.7539,93.4075
75.4433,91.6029,91.4505
48.4585,81.7539,93.4075
75.1517,88.6347,78.4853
75.1517,88.6347,78.4853
41.4472,65.6574,35.1604
41.4472,65.6574,35.1604
75.4433,91.6029,91.4505
41.4472,65.6574,35.1604
75.1517,88.6347,78.4853
75.4433,91.6029,91.4505
75.1517,88.6347,78.4853
48.4585,81.7539,93.4075
48.4585,81.7539,93.4075
32.599,75.992,25.3291
58.6729,78.0311,13.224
58.6729,78.0311,13.224
58.6729,78.0311,13.224
32.599,75.992,25.3291
41.4472,65.6574,35.1604
58.6729,78.0311,13.224
58.6729,78.0311,13.224
41.4472,65.6574,35.1604
32.599,75.992,25.3291
75.1517,88.6347,78.4853
48.4585,81.7539,93.4075
19.8681,16.8354,40.4011
32.599,75.992,25.3291
48.4585,81.7539,93.4075
32.599,75.992,25.3291
19.8681,16.8354,40.4011
19.8681,16.8354,40.4011
75.4433,91.6029,91.4505
19.8681,16.8354,40.4011
48.4585,81.7539,93.4075
32.599,75.992,25.3291
19.8681,16.8354,40.4011
32.599,75.992,25.3291
48.4585,81.7539,93.4075
48.4585,81.7539,93.4075
75.4433,91.6029,91.4505
48.4585,81.7539,93.4075
32.599,75.992,25.3291
75.1517,88.6347,78.4853
75.1517,88.6347,78.4853
48.4585,81.7539,93.4075
75.1517,88.6347,78.4853
75.4433,91.6029,91.4505
75.1517,88.6347,78.4853
27.5788,46.7146,76.6753
75.1517,88.6347,78.4853
58.6729,78.0311,13.224
27.5788,46.7146,76.6753
58.6729,78.0311,13.224
75.4433,91.6029,91.4505
58.6729,78.0311,13.224
19.8681,16.8354,40.4011
75.4433,91.6029,91.4505
75.4433,91.6029,91.4505
75.4433,91.6029,91.4505
85.8102,33.1441,59.8903
48.4585,81.7539,93.4075
85.8102,33.1441,59.8903
48.4585,81.7539,93.4075
75.4433,91.6029,91.4505
19.8681,16.8354,40.4011
48.4585,81.7539,93.4075
36.0134,10.3832,89.1951
27.5788,46.7146,76.6753
85.8102,33.1441,59.8903
64.1351,33.83,20.7833
36.0134,10.3832,89.1951
55.5221,94.1233,15.3654
36.0134,10.3832,89.1951
64.1351,33.83,20.7833
85.8102,33.1441,59.8903
85.8102,33.1441,59.8903
85.8102,33.1441,59.8903
55.5221,94.1233,15.3654
64.1351,33.83,20.7833
85.8102,33.1441,59.8903
85.8102,33.1441,59.8903
64.1351,33.83,20.7833
9.20727,59.8369,73.122
85.8102,33.1441,59.8903
64.1351,33.83,20.7833
9.20727,59.8369,73.122
11.1418,68.5323,4.30276
11.1418,68.5323,4.30276
36.0134,10.3832,89.1951
64.1351,33.83,20.7833
64.1351,33.83,20.7833
27.0952,74.4829,73.6777
9.20727,59.8369,73.122
11.1418,68.5323,4.30276
64.1351,33.83,20.7833
11.1418,68.5323,4.30276
64.1351,33.83,20.7833
64.1351,33.83,20.7833
11.1418,68.5323,4.30276
27.0952,74.4829,73.6777
74.289,67.8243,69.4076
74.289,67.8243,69.4076
55.5221,94.1233,15.3654
36.0134,10.3832,89.1951
55.5221,94.1233,15.3654
55.5221,94.1233,15.3654
27.0952,74.4829,73.6777
55.5221,94.1233,15.3654
74.289,67.8243,69.4076
74.289,67.8243,69.4076
55.5221,94.1233,15.3654
55.5221,94.1233,15.3654
2.27721,12.5984,42.4416
74.289,67.8243,69.4076
74.289,67.8243,69.4076
64.1351,33.83,20.7833
82.5662,70.2481,82.4344
73.1505,27.6269,14.5114
73.1505,27.6269,14.5114
82.5662,70.2481,82.4344
74.289,67.8243,69.4076
2.27721,12.5984,42.4416
2.27721,12.5984,42.4416
82.5662,70.2481,82.4344
82.5662,70.2481,82.4344
64.1351,33.83,20.7833
64.1128,96.9765,37.5275
27.0952,74.4829,73.6777
27.0952,74.4829,73.6777
27.0952,74.4829,73.6777
2.27721,12.5984,42.4416
74.289,67.8243,69.4076
64.1128,96.9765,37.5275
73.1505,27.6269,14.5114
51.0989,75.0957,77.6084
74.289,67.8243,69.4076
64.1128,96.9765,37.5275
82.5662,70.2481,82.4344
