n1_r
12568691568:12569288943
12568691568:12569246999
12568653028:12569288330
12568653028:12569246965
12568653134:12569288834
12569289701:12569289180
12568653028:12569289465
12569289701:12569288606
12568653134:12569249314
12568653176:12569247937
12568653134:12569287498
12568653176:12578570568
12569289480:12568691312
12568653176:12569288303
12569249987:12569286880
12568653176:12569288867
12568691568:12569288726
12569249987:12568651536
12568691568:12568652263
12569249987:12568652219
12568691568:12568653028
12569289701:12568650463
12569289701:12568652573
12569289701:12568651423
12568653028:12568650506
12568653028:12568650468
12569289701:12568652427
12568691568:12568652852
12569289701:12568653037
12569249987:12568652793
12568653176:12568652602
12568653176:12568652695
12569289701:12568652877
12569249987:12568651460
12569249987:12568651385
12568653028:12568652301
12569249987:12568653120
12568653176:12568651460
12568691568:12568652573
12568653176:12568652219
12569289701:12568651536
12569289701:12568651033
12568691568:12568653120
12569249987:12568651020
12568653176:12568652156
12568653176:12568652427
12568653176:12568652877
12569249987:12568652695
12568653176:12568651897
12569249987:12568652263
12568653134:12568652291
12569289701:12568652602
12568653176:12568652337
12568653176:12568652180
12568653176:12568652793
12569249987:12568651423
12569249987:12568650750
12569289701:12568653099
12568691568:12568650716
12569289701:12568651091
12568691568:12568652386
12569289701:12568652072
12568691568:12568653159
12569289701:12568651607
12569289701:12568651659
12568691568:12568651860
12569249987:12568651991
12568691568:12568650428
12568653028:12568652094
12568653176:12569248133
12568691568:12569249360
12568653176:12569248457
12568653028:12569248279
12568653176:12569248265
12569289701:12569249980
12569289701:12569248412
12568691568:12569248879
12568653028:12569247689
12568653028:12569249323
12568653176:12569247323
12568652367:12577989983
12568652619:12577987762
12568650845:12577987716
12568652619:12577987655
12568652619:12577987651
12568653120:12577990607
12568653120:12577990242
12568652367:12578571554
12568653120:12578570962
12568650845:12577991099
12568652367:12568651110
12568652619:12568652180
12577990225:12568652291
12577990225:12568649498
12568653120:12568652019
12568652367:12568651897
12568653159:12568649562
12568652619:12568651643
12568653120:12568649538
12568652619:12568650086
12577990225:12568651020
12568652619:12568652156
12568653159:12568651033
12577990225:12568649582
12577990225:12568653120
12568653159:12568651460
12568653159:12568651956
12568653159:12568651822
12568652367:12568650816
12577990225:12568650838
12568653159:12568652251
12577990225:12568652456
12568653120:12568652416
12568653120:12568652386
12568653120:12568651991
12568653120:12568651502
12568652367:12568652354
12568652619:12568650530
12568653120:12568651091
12568652619:12568652632
12568650845:12568651659
12568650845:12568651341
12568652367:12568652072
12577990225:12568688816
12568652367:12568653099
12568652367:12568650750
12568653120:12568688852
12568652619:12568652094
12568652619:12568651802
12568653120:12568650716
12568652619:12568652174
12577990225:12568651897
12577990225:12568651033
12568652619:12568651020
12577990225:12568651460
12577990225:12568651110
12577990225:12568650816
12577990225:12568652180
12568652367:12568650838
12568653159:12568650907
12568652619:12568652291
12568653159:12568651385
12568652619:12568653084
12568652619:12568649884
12568653084:12568649901
12568653159:12568649929
12568653084:12568649848
12568653120:12569248563
12569250014:12568653000
12569250014:12568651746
12568653120:12569287262
12568653084:12568689506
12568652619:12568691120
12568653084:12569289180
12568652619:12568651183
12568653120:12568652840
12569250014:12568649613
12568653120:12568652619
12568653084:12569249605
12568653159:12568649757
12568653084:12569248529
12568653120:12568649613
12569248587:12568649757
12568653120:12568651746
12568653120:12568653000
12569248587:12568650313
12568652367:12569247473
12568652367:12569249332
12568652619:12569247023
12568653084:12569247091
12568652619:12569247408
12578571554:12569247548
12568653084:12569249345
12568653084:12569248805
12568652619:12569249980
12578571554:12569248879
12568653084:12569248587
12568652619:12569249549
12578571554:12569249433
12578571554:12569248590
12578571554:12578570708
12569250014:12568651385
12578571554:12568651686
12568652367:12568651291
12569248587:12568651607
12578571554:12568652945
12569250014:12568651423
12568653037:12569249345
12568653084:12569247408
12578571554:12569248805
12568653037:12569249549
12569250014:12569248674
12568652619:12569247473
12568653084:12569247548
12578571554:12569249376
12578571554:12569247023
12568653037:12569247091
12578571554:12569249655
12568653037:12569247257
12578571554:12569248900
12568653037:12578570962
12569250014:12578571351
12569250014:12568650992
12569248587:12577987651
12577990915:12577987762
12568653037:12577987655
12577990915:12577987716
12568653084:12577991099
12568652711:12568650506
12577990915:12568650468
12577990915:12568650463
12568652711:12568651566
12569249980:12568652109
12577990915:12568652784
12578571554:12568651219
12569248587:12568651213
12569249980:12568652263
12578571554:12568650673
12577990915:12568652301
12568652711:12568651423
12577990915:12568651536
12569249980:12568651709
12569248587:12568652852
12568652711:12568652219
12568652711:12578569690
12568652711:12578569661
12569248587:12578571299
12569249980:12578570388
12569248587:12578570995
12569249980:12578570694
12577991063:12568649613
12577990915:12568649757
12568653099:12568650313
12569249980:12568651746
12577990915:12568653000
12569249980:12569249433
12568653099:12569249360
12577991063:12569249332
12577990915:12569248457
12568652711:12569248879
12568653099:12569248133
12568653099:12569248279
12568653099:12569248265
12568652711:12568652072
12568652291:12568650750
12568652291:12568651607
12568652711:12568650716
12568652711:12568652094
12568652291:12568650132
12568652711:12568651847
12568652291:12568651091
12577991063:12568650178
12568652711:12568652945
12569249980:12568652452
12577991063:12568652386
12568652291:12568650428
12568652711:12568651291
12569249980:12568651978
12568652711:12568651860
12568652711:12568651502
12568652291:12568650394
12569249645:12568652932
12568652291:12568650530
12569249980:12568651686
12577991099:12568652180
12569249645:12568650907
12577991063:12568650086
12577991099:12568651643
12569249645:12568651110
12569249645:12568649562
12577991063:12568651460
12577991063:12568651020
12577991099:12568651033
12577991063:12568651956
12577991099:12568649498
12569249645:12568651897
12577991063:12568649538
12569249980:12568652251
12568653099:12568652156
12577991099:12568649582
12577991099:12568652019
12577991099:12569249575
12568653099:12569249100
12568653099:12569248981
12568653099:12569249163
12568652291:12569249502
12577991063:12569249215
12577991063:12569247986
12568652291:12569248239
12577991099:12569247574
12577991063:12569249615
12568652291:12569247601
12577991099:12568652337
12578571351:12569249405
12578571351:12577990242
12578571351:12577987651
12569249645:12577987655
12569249645:12577987716
12578571351:12577987762
12569249645:12577990607
12569249645:12578570962
12569249549:12578570737
12569249549:12578570962
12568652768:12568650992
12578571351:12569249376
12578571351:12569248900
12568652768:12569248674
12568652486:12569248590
12578571351:12569249345
12569249549:12568651257
12578571351:12568652751
12578571351:12568651746
12569249549:12568649884
12569249549:12568649929
12569249655:12568649901
12568652486:12568649757
12578571351:12568649848
12569249549:12568649613
12568652456:12568652840
12578571351:12568652732
12568652456:12568651183
12569249655:12569248563
12568652768:12569289180
12568652768:12569288606
12568653000:12568652680
12569249655:12568690632
12569249655:12568690973
12568653000:12569248674
12568652456:12569249345
12568652456:12569247408
12569249655:12569247548
12578571351:12569247473
12568652456:12569248590
12568653000:12569247257
12568652486:12569247221
12568653000:12569249376
12568653000:12569247023
12568652486:12569247091
12568652456:12569248900
12568652768:12568649582
12568652768:12568649538
12568653000:12568649562
12569248954:12568649498
12568652793:12568651643
12568652793:12568651956
12568652486:12569249405
12569248954:12568652019
12569248954:12569248239
12568653000:12568650086
12568652768:12568652251
12568653000:12568650907
12569248954:12569249615
12568653000:12568652427
12568652456:12568652219
12568653000:12568652573
12568652386:12568652695
12568652486:12568651536
12568652456:12568652263
12569249549:12568652301
12569248954:12568652049
12569248954:12568651780
12568652486:12568650506
12568653000:12568651566
12569248954:12568650468
12568652386:12568650463
12569248954:12568651091
12568652456:12568651991
12569248954:12568651502
12568652456:12568652354
12568652456:12568650530
12569248954:12568652632
12569248954:12568651659
12568652553:12568652072
12568652553:12568650750
12568652553:12568651341
12578571409:12568650716
12568652456:12568652094
12568652456:12568650428
12578571409:12568688816
12569248954:12568688852
12569248954:12568650394
12578571409:12568650178
12569289465:12578571088
12568652386:12578570405
12568652386:12578570903
12568652386:12578612388
12578571409:12568652337
12578571409:12568652877
12578568929:12568650313
12578571409:12569247986
12578571409:12568652136
12578571409:12569248265
12578570568:12569249433
12569249502:12578568929
12578571409:12569248279
12569289465:12569249163
12569289465:12569248981
12578568929:12569249215
12569289465:12569248879
12578568929:12569249163
12569289465:12569249215
12578570568:12569247986
12578570568:12568652337
12568652553:12569247574
12568652553:12569247601
12578568929:12568652877
12568652553:12569249615
12578570568:12569248879
12578568929:12569248265
12578570568:12569249057
12569289465:12569248279
12569289465:12578568881
12569249502:12578568878
12569247257:12578568893
12578568929:12569247257
12569247257:12578612388
12569249502:12569288330
12568652553:12569288943
12569247257:12569287498
12569247257:12569288834
12568652553:12569288834
12569249502:12569289180
12578570568:12569246965
12569289465:12578612388
12568652945:12578611902
12569249502:12569288834
12569289465:12578570405
12569249502:12578571088
12568652945:12569288330
12568652945:12569247548
12578568929:12569249057
12568652945:12569247473
12569289465:12569248805
12569249502:12569247408
12568652945:12568650992
12569249502:12569247023
12569289465:12569247091
12569289465:12569249345
12578568929:12569247601
12569289465:12569248674
12569249502:12569248900
12578570568:12569247574
12578570568:12569249376
12569289465:12568651291
12578570568:12568651607
12578568929:12568652452
12578570568:12568651686
12568652864:12568652094
12578570568:12568652072
12569247257:12568651847
12568652864:12568650132
12569247257:12568652932
12578568929:12568651385
12569247257:12568650178
12568652945:12568691120
12578568929:12568649848
12578568929:12568649929
12578568929:12568649901
12577988643:12568651183
12569289465:12568651939
12577988643:12568690758
12569289465:12568689506
12578568929:12568649884
12568652945:12568691312
12569289465:12568690632
12568691351:12577989558
12568652864:12577989373
12577988643:12568690632
12568651219:12568691312
12568691351:12568690973
12569249345:12568651939
12568691351:12568650086
12568651219:12568651643
12577988643:12569249405
12577988643:12569248239
12577988643:12568652416
12569249345:12568649562
12568651219:12568649538
12577988643:12568691421
12577988643:12568688852
12568651219:12568688816
12568652680:12568689581
12577988643:12568651802
12568651219:12568688675
12568652680:12568651341
12569249575:12568688598
12569249575:12568651659
12568691351:12569248590
12568651219:12569247408
12568651219:12569248805
12569249605:12569247473
12568652680:12569248674
12569249575:12569247548
12568651219:12569247023
12569249575:12569247091
12568651219:12569249376
12568651219:12569247221
12569249575:12569248900
12569249605:12568650673
12578571299:12568652784
12578571299:12568652109
12569249345:12568651566
12568691351:12568651709
12569249345:12577990894
12569249345:12568650468
12569249605:12568650506
12569249345:12568650463
12578571299:12577989258
12578571299:12577989252
12569249345:12568652301
12569249345:12568651586
12568652932:12569248529
12578571299:12569287262
12578571299:12568690973
12568651219:12569248563
12578571055:12569287985
12577990894:12569288867
12577990894:12569286880
12578571055:12568690632
12578571299:12569248412
12568652932:12569249323
12568652932:12569247689
