mvir,x,y,z
3.5027e+15,669.879,197.094,960.008
2.6109e+15,6.2965,61.2847,512.033
2.4641e+15,644.136,671.862,241.302
2.4588e+15,915.374,140.135,875.542
2.3821e+15,958.168,73.8537,974.687
2.3623e+15,900.326,142.452,944.158
2.2699e+15,486.246,231.955,903.686
2.244e+15,12.1695,960.385,944.192
2.1548e+15,606.789,487.382,619.774
2.0278e+15,121.973,76.4274,770.257
