mvir,x,y,z
1.00E+13,303.213,876.85,463.827
1.00E+13,442.782,192.307,929.803
1.00E+13,472.852,739.41,770.184
1.00E+13,461.44,713.238,903.39
1.00E+13,723.09,115.988,859.509
1.00E+13,499.095,358.554,959.798
1.00E+13,714.178,423.511,127.861
1.00E+13,479.186,217.404,350.065
1.00E+13,774.353,625.824,697.414
1.00E+13,511.558,692.876,284.86
1.00E+13,387.637,187.83,297.142
1.00E+13,503.313,980.316,302.123
1.00E+13,565.351,398.759,444.869
1.00E+13,598.49,448.551,661.64
1.00E+13,643.746,38.1503,372.477
1.00E+13,845.106,547.501,675.789
1.00E+13,638.846,240.308,987.987
1.00E+13,655.413,375.11,914.552
1.00E+13,954.496,542.301,512.922
1.00E+13,952.918,959.624,122.658
1.00E+13,553.036,171.94,809.27
1.00E+13,546.082,475.034,968.086
1.00E+13,728.335,834.719,46.7499
1.00E+13,809.721,428.632,243.932
1.00E+13,770.212,610.304,963.683
1.00E+13,878.564,33.1656,811.107
1.00E+13,827.589,254.883,162.259
1.00E+13,758.752,965.156,903.744
1.00E+13,738.237,941.73,403.099
1.00E+13,861.679,597.189,421.493
1.00E+13,818.802,851.286,84.8518
1.00E+13,822.719,845.428,44.1589
1.00E+13,886.787,894.067,24.0461
1.00E+13,878.271,811.335,402.2
1.00E+13,905.803,43.8812,243.773
1.00E+13,933.855,907.243,346.234
1.00E+13,900.886,569.13,441.971
1.00E+13,917.826,791.149,917.823
1.00E+13,878.221,707.574,830.503
1.00E+13,984.182,101.313,989.282
1.00E+13,39.1679,36.1535,920.579
1.00E+13,32.6955,540.61,860.143
1.00E+13,129.375,346.989,332.294
1.00E+13,186.02,269.337,834.951
1.00E+13,190.524,538.1,235.24
1.00E+13,160.632,570.566,896.648
1.00E+13,262.363,590.201,485.219
1.00E+13,0.94187,556.998,466.71
1.00E+13,65.2948,205.092,834.643
1.00E+13,302.47,67.9512,497.979
1.00E+13,119.637,628.434,419.623
1.00E+13,190.684,386.6,547.966
1.00E+13,485.569,369.767,533.047
1.00E+13,217.912,21.0874,159.462
1.00E+13,467.819,980.437,513.196
1.00E+13,286.972,469.463,34.1546
1.00E+13,231.767,200.28,36.0274
1.00E+13,303.439,52.074,184.242
1.00E+13,349.166,562.941,33.4202
1.00E+13,112.15,99.2383,463.672
1.00E+13,543.173,964.516,46.0666
1.00E+13,513.059,952.866,850.582
1.00E+13,388.152,567.641,236.871
1.00E+13,170.472,739.8,384.512
1.00E+13,419.624,87.3356,779.285
1.00E+13,362.692,771.633,184.787
1.00E+13,489.115,101.782,246.377
1.00E+13,785.112,595.303,961.244
1.00E+13,433.52,866.014,331.85
1.00E+13,483.768,776.635,829.738
1.00E+13,416.806,572.089,71.5487
1.00E+13,530.524,884.931,146.581
1.00E+13,599.514,247.324,794.976
1.00E+13,512.38,21.1314,639.24
1.00E+13,583.726,208.28,594.531
1.00E+13,596.989,634.596,843.209
1.00E+13,581.948,467.361,854.137
1.00E+13,678.536,43.1005,140.129
1.00E+13,603.132,544.963,229.201
1.00E+13,539.262,989.247,261.856
1.00E+13,645.562,463.964,382.895
1.00E+13,432.456,367.04,367.242
1.00E+13,498.132,454.788,85.8234
1.00E+13,630.541,492.883,147.875
1.00E+13,977.549,552.924,576.785
1.00E+13,680.27,723.984,835.317
1.00E+13,750.878,10.1316,681.012
1.00E+13,736.694,684.234,759.38
1.00E+13,960.766,943.019,385.75
1.00E+13,788.296,635.776,172.093
1.00E+13,740.07,823.986,795.964
1.00E+13,545.889,229.746,139.466
1.00E+13,779.133,430.429,113.392
1.00E+13,703.361,109.432,466.049
1.00E+13,831.399,12.4631,895.69
1.00E+13,734.643,585.668,141.68
1.00E+13,799.924,901.109,722.113
1.00E+13,828.285,87.523,581.859
1.00E+13,765.94,738.756,965.004
1.00E+13,805.838,849.82,398.683
1.00E+13,822.418,186.854,702.379
1.00E+13,829.859,583.539,169.719
1.00E+13,663.608,532.4,359.16
1.00E+13,876.663,585.696,879.864
1.00E+13,939.45,922.049,690.948
1.00E+13,978.903,241.907,91.5711
1.00E+13,916.456,975.392,828.195
1.00E+13,847.412,673.541,568.206
1.00E+13,89.3154,47.2897,293.974
1.00E+13,31.0083,925.623,17.3823
1.00E+13,113.437,628.891,540.996
1.00E+13,194.239,52.3939,761.711
1.00E+13,199.988,39.9191,51.1116
1.00E+13,139.43,3.01985,374.446
1.00E+13,380.144,531.008,962.496
1.00E+13,70.6908,720.614,497.638
1.00E+13,181.216,97.9403,861.503
1.00E+13,95.6828,936.889,749.3
1.00E+13,494.856,320.85,770.678
1.00E+13,169.974,869.504,709.529
1.00E+13,258.857,531.811,34.6468
1.00E+13,253.346,469.015,327.787
1.00E+13,572.468,226.899,122.724
1.00E+13,543.846,477.417,127.991
1.00E+13,57.6002,938.768,310.178
1.00E+13,337.296,580.196,289.397
1.00E+13,591.764,909.649,975.925
1.00E+13,307.432,72.9212,962.685
1.00E+13,346.848,334.8,741.359
1.00E+13,364.331,629.83,927.463
1.00E+13,340.518,601.964,310.906
1.00E+13,659.59,424.985,303.691
1.00E+13,376.744,574.85,245.395
1.00E+13,418.549,682.248,111.146
1.00E+13,434.971,277.165,753.192
1.00E+13,755.487,183.966,66.6039
1.00E+13,719.082,135.818,94.0757
1.00E+13,789.066,184.458,999.946
1.00E+13,745.235,359.466,242.615
1.00E+13,510.574,58.0372,153.602
1.00E+13,488.748,274.905,180.791
1.00E+13,419.967,244.45,398.166
1.00E+13,716.926,559.033,190.939
1.00E+13,557.637,333.788,76.3237
1.00E+13,537.079,143.941,977.063
1.00E+13,815.752,64.3618,582.025
1.00E+13,575.679,838.562,519.546
1.00E+13,531.953,637.174,515.327
1.00E+13,578.064,644.088,613.395
1.00E+13,566.731,921.545,889.277
1.00E+13,765.324,296.764,225.061
1.00E+13,605.58,882.566,417.279
1.00E+13,695.103,612.44,49.3201
1.00E+13,773.206,123.938,855.443
1.00E+13,728.574,402.044,28.5109
1.00E+13,747.497,135.106,665.376
1.00E+13,846.081,517.225,434.972
1.00E+13,870.369,564.326,843.386
1.00E+13,716.884,532.883,626.578
1.00E+13,804.865,861.661,717.524
1.00E+13,803.266,932.428,965.607
1.00E+13,822.687,658.613,232.532
1.00E+13,831.359,838.626,351.187
1.00E+13,895.669,886.766,788.998
1.00E+13,962.791,874.541,323.418
1.00E+13,916.378,155.767,320.334
1.00E+13,981.947,184.801,360.381
1.00E+13,900.702,556.307,752.074
1.00E+13,966.522,631.633,309.994
1.00E+13,985.57,888.686,814.522
1.00E+13,908.191,594.756,563.154
1.00E+13,733.071,933.863,519.537
1.00E+13,969.035,816.329,508.445
1.00E+13,963.968,956.964,188.086
1.00E+13,888.329,777.989,831.235
1.00E+13,22.788,198.292,183.712
1.00E+13,78.4663,319.715,477.294
1.00E+13,47.5362,670.005,451.557
1.00E+13,155.197,868.208,23.3088
1.00E+13,26.6863,207.834,432.595
1.00E+13,82.991,67.1658,622.324
1.00E+13,370.297,179.077,677.846
1.00E+13,53.2827,622.008,102.669
1.00E+13,191.374,314.439,649.203
1.00E+13,438.744,275.289,79.6307
1.00E+13,124.401,611.386,256.249
1.00E+13,590.115,102.954,139.569
1.00E+13,288.98,395.534,903.794
1.00E+13,504.981,468.188,65.0469
1.00E+13,582.587,449.819,488.304
1.00E+13,336.92,146.475,948.734
1.00E+13,286.551,211.305,977.69
1.00E+13,63.8759,908.053,625.481
1.00E+13,243.721,827.735,220.265
1.00E+13,323.654,663.971,385.524
1.00E+13,336.445,571.728,499.896
1.00E+13,436.25,110.07,438.074
1.00E+13,646.573,589.651,48.7177
1.00E+13,476.593,168.58,811.581
1.00E+13,369.061,838.538,400.351
1.00E+13,302.942,876.98,91.6763
1.00E+13,610.855,717.103,652.42
1.00E+13,457.3,19.1398,518.158
1.00E+13,429.125,280.62,79.7955
1.00E+13,713.01,399.15,341.471
1.00E+13,425.609,441.291,697.336
1.00E+13,759.846,456.957,455.203
1.00E+13,458.901,255.743,251.165
1.00E+13,778.887,632.328,303.452
1.00E+13,425.742,729.322,148.879
1.00E+13,423.283,661.673,148.726
1.00E+13,423.051,596.959,511.363
1.00E+13,387.328,73.845,821.614
1.00E+13,595.974,152.9,759.461
1.00E+13,802.962,295.36,394.705
1.00E+13,520.238,486.152,462.797
1.00E+13,542.383,359.118,505.327
1.00E+13,514.036,933.749,299.214
1.00E+13,606.791,520.715,96.4004
1.00E+13,710.227,87.1521,386.591
1.00E+13,640.863,426.956,582.68
1.00E+13,964.254,599.821,279.193
1.00E+13,749.347,549.059,952.559
1.00E+13,767.24,39.2121,339.179
1.00E+13,407.383,910.865,503.233
1.00E+13,429.261,900.015,682.329
1.00E+13,760.328,167.836,534.303
1.00E+13,563.007,469.97,658.105
1.00E+13,789.788,850.241,395.394
1.00E+13,726.478,830.074,575.43
1.00E+13,875.705,768.288,141.313
1.00E+13,978.579,28.0342,359.287
1.00E+13,877.236,108.145,764.997
1.00E+13,660.076,525.416,98.6273
1.00E+13,879.772,444.326,624.978
1.00E+13,861.43,834.695,441.846
1.00E+13,622.76,707.498,782.537
1.00E+13,813.216,797.727,86.0142
1.00E+13,631.732,927.14,828.093
1.00E+13,967.183,861.698,48.0192
1.00E+13,994.934,743.769,509.006
1.00E+13,74.1233,359.731,10.0249
1.00E+13,18.2535,434.726,340.082
1.00E+13,1.31306,753.757,573.707
1.00E+13,148.559,38.4071,222.169
1.00E+13,165.639,416.058,818.527
1.00E+13,143.954,714.61,747.176
1.00E+13,142.655,845.989,557.768
1.00E+13,270.064,101.447,770.716
1.00E+13,89.6795,77.5423,267.56
1.00E+13,260.01,360.051,799.207
1.00E+13,203.984,491.986,231.701
1.00E+13,90.6551,971.291,613.494
1.00E+13,184.222,160.602,847.661
1.00E+13,53.6799,520.555,7.25985
1.00E+13,55.0748,366.534,101.445
1.00E+13,51.8702,700.237,567.614
1.00E+13,328.277,689.109,44.5219
1.00E+13,64.5841,728.363,877.712
